id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
2,Create account page,boundary,1,2,Login to tripplanner,Login to tripplanner - iOS,
3,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
4,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
5,Account,entity,2,1,Login to tripplanner,Login to tripplanner - iOS,
6,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
7,Create an account,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
8,start auth session,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
9,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
10,Email password,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
11,Retrieve account info,control,2,1,Login to tripplanner,Login to tripplanner - iOS,
12,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
13,Account,entity,2,1,Login to tripplanner,Login to tripplanner - iOS,
14,Login main page,boundary,3,4,Login to tripplanner,Login to tripplanner - iOS,
15,Display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
16,Display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
17,Main page,boundary,1,1,Login to tripplanner,Login to tripplanner - iOS,
18,Start auth session,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
19,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
20,Previous page (any page),boundary,0,1,Login to tripplanner,Login to tripplanner - iOS,
21,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
22,Display,control,1,2,Login to tripplanner,Login to tripplanner - iOS,
23,Account,entity,1,1,Login to tripplanner,Login to tripplanner - iOS,
24,Traveler,actor,2,0,Login to tripplanner,Login to tripplanner - iOS,
25,Retrieve account info,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
26,Forget password page,boundary,2,1,Login to tripplanner,Login to tripplanner - iOS,
27,display,control,1,1,Login to tripplanner,Login to tripplanner - iOS,
28,Previous page,boundary,0,2,Login to tripplanner,Login to tripplanner - iOS,
