Usecase, avg_degree, avg_path_length, architectural_diff, num_path, num_interface_operation, number_data_operation, number_control, number_partial_matched
Use Case 1,1.8333333333333333,4.666666666666667,8.555555555555555,3,1,1,2,0
Use Case 2,0.5,2,1,1,0,0,0,0
