id,transaction,useCase,transactional, TL, DETs, TD, Arch_Diff
1,stl#Student:Hide info button->Student:Hide info button->Hide info button:hide the genealogy and statistics frames->hide the genealogy and statistics frames:video frame,Hide info,TRAN_NA,4,0,4,16
2,stl#Student:Hide info button->Student:Hide info button->Hide info button:hide the genealogy and statistics frames->hide the genealogy and statistics frames:genealogy statistics,Hide info,TRAN_NA,4,0,5.666666666666667,22.666666666666668
3,stl#Student:Hide info button->Student:Hide info button->Hide info button:hide the genealogy and statistics frames->hide the genealogy and statistics frames:circle identification in video->circle identification in video:video frame,Hide info,TRAN_NA,5,0,5,25
4,stl#Student:Hide info button->Student:Hide info button->Hide info button:hide the genealogy and statistics frames->hide the genealogy and statistics frames:calculate genealogy statisticss->calculate genealogy statisticss:genealogy statistics,Hide info,TRAN_NA,5,0,6.25,31.25
5,stl#Student:Hide info button->Student:Hide info button->Hide info button:hide the genealogy and statistics frames->hide the genealogy and statistics frames:calculate genealogy statisticss->calculate genealogy statisticss:error message for not statistics,Hide info,TRAN_NA,5,0,6.25,31.25
6,stl#Student:video frame->Student:video frame,Hide info,CTRL,2,0,3,6
7,stl#Student:video frame->Student:video frame,Hide info,EXTCLL,2,0,3,6
8,stl#Student:video frame->Student:video frame,Hide info,INT,2,0,3,6
9,stl#Student:error message for not statistics->Student:error message for not statistics,Hide info,CTRL,2,0,8,16
10,stl#Student:error message for not statistics->Student:error message for not statistics,Hide info,EXTCLL,2,0,8,16
11,stl#Student:error message for not statistics->Student:error message for not statistics,Hide info,INT,2,0,8,16
12,stl#Student:genealogy statistics->Student:genealogy statistics,Hide info,CTRL,2,0,8,16
13,stl#Student:genealogy statistics->Student:genealogy statistics,Hide info,EXTCLL,2,0,8,16
14,stl#Student:genealogy statistics->Student:genealogy statistics,Hide info,INT,2,0,8,16
1,stl#Student:play pause resice buttons of video player->Student:play pause resice buttons of video player->play pause resice buttons of video player:control video player->control video player:video frame,Play/pause/resize video,TRAN_NA,4,0,2,8
2,stl#Student:play pause resice buttons of video player->Student:play pause resice buttons of video player->play pause resice buttons of video player:control video player->control video player:genealogy statistics,Play/pause/resize video,TRAN_NA,4,0,2,8
3,stl#Student:video frame->Student:video frame,Play/pause/resize video,CTRL,2,0,2,4
4,stl#Student:video frame->Student:video frame,Play/pause/resize video,EXTCLL,2,0,2,4
5,stl#Student:video frame->Student:video frame,Play/pause/resize video,INT,2,0,2,4
6,stl#Student:genealogy statistics->Student:genealogy statistics,Play/pause/resize video,CTRL,2,0,2,4
7,stl#Student:genealogy statistics->Student:genealogy statistics,Play/pause/resize video,EXTCLL,2,0,2,4
8,stl#Student:genealogy statistics->Student:genealogy statistics,Play/pause/resize video,INT,2,0,2,4
1,stl#Student:Control bar of the video->Student:Control bar of the video->Control bar of the video:display the transcirpt block on the video frame->display the transcirpt block on the video frame:transcript frame of the home page,Rolling transcripts,TRAN_NA,4,0,2,8
2,stl#Student:transcript frame of the home page->Student:transcript frame of the home page,Rolling transcripts,CTRL,2,0,2,4
3,stl#Student:transcript frame of the home page->Student:transcript frame of the home page,Rolling transcripts,EXTCLL,2,0,2,4
4,stl#Student:transcript frame of the home page->Student:transcript frame of the home page,Rolling transcripts,INT,2,0,2,4
1,stl#Student:link for the map of the village->Student:link for the map of the village->link for the map of the village:Display static map of the tribe's village->Display static map of the tribe's village:static map of the tribe's village,View maps of the villege,CTRL,4,0,4,16
2,stl#Student:static map of the tribe's village->Student:static map of the tribe's village,View maps of the villege,CTRL,2,0,4,8
1,stl#Student:Yanomamo home page->Student:Yanomamo home page->Yanomamo home page:load video->load video:video frame,View transcript of video,TRAN_NA,4,0,3.6666666666666665,14.666666666666666
2,stl#Student:Yanomamo home page->Student:Yanomamo home page->Yanomamo home page:load video->load video:video frame,View transcript of video,TRAN_NA,4,0,3.6666666666666665,14.666666666666666
3,stl#Student:video frame->Student:video frame,View transcript of video,CTRL,2,0,5,10
4,stl#Student:video frame->Student:video frame,View transcript of video,EXTCLL,2,0,5,10
5,stl#Student:video frame->Student:video frame,View transcript of video,INT,2,0,5,10
6,stl#Student:video frame->Student:video frame,View transcript of video,CTRL,2,0,5,10
7,stl#Student:video frame->Student:video frame,View transcript of video,EXTCLL,2,0,5,10
8,stl#Student:video frame->Student:video frame,View transcript of video,INT,2,0,5,10
1,stl#Student:genealogy statistics->Student:genealogy statistics,link text to TBM,CTRL,2,0,6,12
2,stl#Student:genealogy statistics->Student:genealogy statistics,link text to TBM,EXTCLL,2,0,6,12
3,stl#Student:genealogy statistics->Student:genealogy statistics,link text to TBM,INT,2,0,6,12
4,stl#Student:error message for not statistics->Student:error message for not statistics,link text to TBM,CTRL,2,0,6,12
5,stl#Student:error message for not statistics->Student:error message for not statistics,link text to TBM,EXTCLL,2,0,6,12
6,stl#Student:error message for not statistics->Student:error message for not statistics,link text to TBM,INT,2,0,6,12
7,stl#Student:video frame->Student:video frame,link text to TBM,CTRL,2,0,1,2
8,stl#Student:video frame->Student:video frame,link text to TBM,EXTCLL,2,0,1,2
9,stl#Student:video frame->Student:video frame,link text to TBM,INT,2,0,1,2
10,stl#Student:member name in the transcripts->Student:member name in the transcripts->member name in the transcripts:display genealogy statistics->display genealogy statistics:circle identification in video,link text to TBM,TRAN_NA,4,0,4.333333333333333,17.333333333333332
11,stl#Student:member name in the transcripts->Student:member name in the transcripts->member name in the transcripts:display genealogy statistics->display genealogy statistics:calculate genealogy statisticss->calculate genealogy statisticss:genealogy statistics,link text to TBM,TRAN_NA,5,0,4.75,23.75
1,stl#Student:video frame->Student:video frame,link text to genealogy, statistics and indicate on TBM,CTRL,2,0,2,4
2,stl#Student:video frame->Student:video frame,link text to genealogy, statistics and indicate on TBM,EXTCLL,2,0,2,4
3,stl#Student:video frame->Student:video frame,link text to genealogy, statistics and indicate on TBM,INT,2,0,2,4
4,stl#Student:error message for not statistics->Student:error message for not statistics,link text to genealogy, statistics and indicate on TBM,CTRL,2,0,3,6
5,stl#Student:error message for not statistics->Student:error message for not statistics,link text to genealogy, statistics and indicate on TBM,EXTCLL,2,0,3,6
6,stl#Student:error message for not statistics->Student:error message for not statistics,link text to genealogy, statistics and indicate on TBM,INT,2,0,3,6
1,stl#Student:the image gallery link on the home page->Student:the image gallery link on the home page->the image gallery link on the home page:Display image gallery page->Display image gallery page:image gallery page,view image gallery,CTRL,4,0,4,16
2,stl#Student:image gallery page->Student:image gallery page,view image gallery,CTRL,2,0,4,8
1,stl#Student:Interpretations/Literature link in home page->Student:Interpretations/Literature link in home page->Interpretations/Literature link in home page:display athe interpretations/literature page->display athe interpretations/literature page:interation/literature page,view interpretations/literature on video,TRAN_NA,4,0,4,16
2,stl#Student:interation/literature page->Student:interation/literature page,view interpretations/literature on video,CTRL,2,0,4,8
3,stl#Student:interation/literature page->Student:interation/literature page,view interpretations/literature on video,EXTCLL,2,0,4,8
4,stl#Student:interation/literature page->Student:interation/literature page,view interpretations/literature on video,INT,2,0,4,8
1,stl#User:site list page->User:site list page->site list page:display an empty form for announcement->display an empty form for announcement:empty announcement form->empty announcement form:check conflict situation->check conflict situation:record the announcement to db->record the announcement to db:direct back to announcement page->direct back to announcement page:announcement page,Add Ammouncement,TRAN_NA,8,0,6.857142857142857,54.857142857142854
2,stl#User:site list page->User:site list page->site list page:display an empty form for announcement->display an empty form for announcement:empty announcement form->empty announcement form:check conflict situation->check conflict situation:error lert about confliect,Add Ammouncement,TRAN_NA,6,0,7.6,45.599999999999994
3,stl#User:announcement page->User:announcement page,Add Ammouncement,CTRL,2,0,4,8
4,stl#User:announcement page->User:announcement page,Add Ammouncement,EXTCLL,2,0,4,8
5,stl#User:announcement page->User:announcement page,Add Ammouncement,DM,2,0,4,8
6,stl#User:announcement page->User:announcement page,Add Ammouncement,EI,2,0,4,8
7,stl#User:announcement list->User:announcement list->announcement list:display site list->display site list:site list,Add Ammouncement,TRAN_NA,4,0,11,44
8,stl#User:announcement list->User:announcement list->announcement list:display site list->display site list:site list page->site list page:display an empty form for announcement->display an empty form for announcement:empty announcement form->empty announcement form:check conflict situation->check conflict situation:record the announcement to db->record the announcement to db:direct back to announcement page->direct back to announcement page:announcement page,Add Ammouncement,TRAN_NA,10,0,7.777777777777778,77.77777777777777
