id,transaction,useCase,transactional, TL, DETs, TD, Arch_Diff
1,stl#User:Reject button->User:Reject button->Reject button:send request accept->send request accept:request,Accept/Reject connection,TRAN_NA,4,0,3,12
2,stl#User:Reject button->User:Reject button->Reject button:send request accept->send request accept:button state change to acceptance,Accept/Reject connection,TRAN_NA,4,0,4.333333333333333,17.333333333333332
3,stl#User:Accept button->User:Accept button->Accept button:send request accept->send request accept:request,Accept/Reject connection,CTRL,4,0,4.666666666666667,18.666666666666668
4,stl#User:Accept button->User:Accept button->Accept button:send request accept->send request accept:button state change to acceptance,Accept/Reject connection,CTRL,4,0,6,24
5,stl#User:button state change to acceptance->User:button state change to acceptance,Accept/Reject connection,CTRL,2,0,6,12
1,stl#User:cancel button->User:cancel button->cancel button:cancel selections->cancel selections:recommendation list->recommendation list:Save the selected recommendation letter->Save the selected recommendation letter:recommendation letter,Accept/Reject recommendation letter,TRAN_NA,6,0,4,24
2,stl#User:cancel button->User:cancel button->cancel button:cancel selections->cancel selections:recommendation list->recommendation list:Save the selected recommendation letter->Save the selected recommendation letter:Display recommendation letter->Display recommendation letter:profile page,Accept/Reject recommendation letter,TRAN_NA,7,0,3.6666666666666665,25.666666666666664
3,stl#User:recommendation list->User:recommendation list->recommendation list:Save the selected recommendation letter->Save the selected recommendation letter:recommendation letter,Accept/Reject recommendation letter,CTRL,4,0,6,24
4,stl#User:recommendation list->User:recommendation list->recommendation list:Save the selected recommendation letter->Save the selected recommendation letter:Display recommendation letter->Display recommendation letter:profile page,Accept/Reject recommendation letter,CTRL,5,0,5,25
5,stl#User:recommendation list->User:recommendation list->recommendation list:Save the selected recommendation letter->Save the selected recommendation letter:Display recommendation letter->Display recommendation letter:profile page,Accept/Reject recommendation letter,EXTCLL,5,0,5,25
6,stl#User:recommendation list->User:recommendation list->recommendation list:Save the selected recommendation letter->Save the selected recommendation letter:Display recommendation letter->Display recommendation letter:profile page,Accept/Reject recommendation letter,INT,5,0,5,25
7,stl#User:profile page->User:profile page,Accept/Reject recommendation letter,CTRL,2,0,2,4
8,stl#User:profile page->User:profile page,Accept/Reject recommendation letter,EXTCLL,2,0,2,4
9,stl#User:profile page->User:profile page,Accept/Reject recommendation letter,INT,2,0,2,4
1,stl#User:advanced search button->User:advanced search button->advanced search button:redirected to advanced search page->redirected to advanced search page:advanced search page->advanced search page:check validity of search string->check validity of search string:invalid search string,Advanced Search Functionality,CTRL,6,2,8.8,52.800000000000004
