id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,Login successful message,boundary,0,2,Login,Login
2,Profile Information,entity,0,1,Login,Login
3,Check Password,control,2,1,Login,Login
4,Login Button,boundary,1,1,Login,Login
5,Language Learner,actor,2,0,Login,Login
6,Home page,boundary,0,2,Logout,Logout
7,Clear user session,control,1,1,Logout,Logout
8,Logout button,boundary,1,1,Logout,Logout
9,Language Learner,actor,2,0,Logout,Logout
10,No matching message,boundary,0,2,Search for Native Speaker,Search for Native Speaker
11,List of language learners,boundary,0,2,Search for Native Speaker,Search for Native Speaker
12,language preference info,entity,0,1,Search for Native Speaker,Search for Native Speaker
13,system check language preferences,control,3,1,Search for Native Speaker,Search for Native Speaker
14,choose language button,boundary,1,1,Search for Native Speaker,Search for Native Speaker
15,Langugage choose page,boundary,0,1,Search for Native Speaker,Search for Native Speaker
16,Language Learner,actor,4,0,Search for Native Speaker,Search for Native Speaker
17,Database,entity,1,1,Search for Native Speaker,Search for Native Speaker
18,Match API,control,2,4,Search for Native Speaker,Search for Native Speaker
19,Match Page,boundary,2,2,Search for Native Speaker,Search for Native Speaker
20,Sign up message,boundary,0,3,Sign Up,Sign Up
21,Home page,boundary,0,2,Sign Up,Sign Up
22,Log in user,control,1,1,Sign Up,Sign Up
23,Account,entity,0,1,Sign Up,Sign Up
24,Create account,control,3,1,Sign Up,Sign Up
25,checks required fields,control,2,1,Sign Up,Sign Up
26,check username/email exist,control,2,1,Sign Up,Sign Up
27,Submit button,boundary,1,1,Sign Up,Sign Up
28,Sign up form,boundary,0,1,Sign Up,Sign Up
29,Language learner,actor,4,0,Sign Up,Sign Up
30,Update successful message,boundary,0,2,Update Profile,Update Profile
31,account,entity,0,1,Update Profile,Update Profile
32,Update language learner information,control,2,1,Update Profile,Update Profile
33,check required fields,control,1,1,Update Profile,Update Profile
34,Submit button,boundary,1,1,Update Profile,Update Profile
35,Profile update form,boundary,0,1,Update Profile,Update Profile
36,Lanugage learner,actor,3,0,Update Profile,Update Profile
37,Database,entity,1,1,validate_data(),Update Profile
38,Profile API,control,2,4,validate_data(),Update Profile
39,Authorization API,control,1,1,validate_data(),Update Profile
40,Profile Management Page,boundary,3,5,validate_data(),Update Profile
41,successfully sent page,boundary,0,2,Send Messages to Other Language Learner,Send Messages to Other Language Learner
42,"please fill in the content" page,boundary,0,2,Send Messages to Other Language Learner,Send Messages to Other Language Learner
43,message,entity,0,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner
44,save message into database,control,3,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner
45,check message is not empty,control,2,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner
46,send button,boundary,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner
47,type message content,control,0,2,Send Messages to Other Language Learner,Send Messages to Other Language Learner
48,display send message page,control,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner
49,send message button,boundary,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner
50,profile page of other language larner,boundary,0,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner
51,Language learner,actor,7,0,Send Messages to Other Language Learner,Send Messages to Other Language Learner
52,Database,entity,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner
53,Message API,control,2,4,Send Messages to Other Language Learner,Send Messages to Other Language Learner
54,Authorization API,control,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner
55,Message Page,boundary,3,5,Send Messages to Other Language Learner,Send Messages to Other Language Learner
56,Database,entity,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner
57,Message API,control,2,4,Send Messages to Other Language Learner,Send Messages to Other Language Learner
58,Authorization API,control,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner
59,Message Page,boundary,3,3,Send Messages to Other Language Learner,Send Messages to Other Language Learner
