NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum
1,Login,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2
2,Logout,4,1,2,1,0,4,1,0,1,0,0,0,1,0,0,0,0,0,1,4,4,1
3,Search for Native Speaker,15,1,5,2,2,10,2,1,3,0,0,0,3,1,0,0,0,0,1.5,4,6,3
4,Sign Up,12,1,4,4,1,10,3,1,4,0,0,0,4,1,0,0,0,0,1.2,5.5,6.6,4
5,Update Profile,18,1,4,4,2,11,1,1,2,0,0,0,2,1,0,0,0,0,1.6363636363636365,5,8.181818181818182,2
6,Send Messages to Other Language Learner,33,1,7,8,3,19,2,1,3,0,0,1,3,1,0,0,0,0,1.736842105263158,4.5,7.815789473684211,4
