id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,Review/Agent->Invalid user popup->Invalid user alert->Query for valid users->Account collection,EI,CTRL|DM|EI,5,undefined,2,1,1,Reviewer/Agent Login,Reviewer/Agent Login
2,Review/Agent->Invalid user popup->check blank fields->Validate user->Query for valid users->Account collection,EI,CTRL|DM|EI,6,undefined,3,1,1,Reviewer/Agent Login,Reviewer/Agent Login
3,Review/Agent->Login screen->check blank fields->Validate user->Query for valid users->Account collection,EI,CTRL|DM|EI,6,undefined,3,1,1,Reviewer/Agent Login,Reviewer/Agent Login
4,Review/Agent->unauthoried access popup->privileges alert->Query for valid users->Account collection,EI,CTRL|DM|EI,5,undefined,2,1,1,Reviewer/Agent Login,Reviewer/Agent Login
5,Review/Agent->Blank fields popup->check blank fields->Validate user->Query for valid users->Account collection,EI,CTRL|DM|EI,6,undefined,3,1,1,Reviewer/Agent Login,Reviewer/Agent Login
