id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Blank fields popup,boundary,1,1,Reviewer/Agent Login,Reviewer/Agent Login,
2,Query for valid users,control,1,3,Reviewer/Agent Login,Reviewer/Agent Login,
3,unauthoried access popup,boundary,1,1,Reviewer/Agent Login,Reviewer/Agent Login,
4,Validate user,control,1,1,Reviewer/Agent Login,Reviewer/Agent Login,
5,Login screen,boundary,1,1,Reviewer/Agent Login,Reviewer/Agent Login,
6,privileges alert,control,1,1,Reviewer/Agent Login,Reviewer/Agent Login,
7,Account collection,entity,0,1,Reviewer/Agent Login,Reviewer/Agent Login,
8,Invalid user alert,control,1,1,Reviewer/Agent Login,Reviewer/Agent Login,
9,check blank fields,control,1,3,Reviewer/Agent Login,Reviewer/Agent Login,
10,Invalid user popup,boundary,2,1,Reviewer/Agent Login,Reviewer/Agent Login,
11,Review/Agent,actor,4,0,Reviewer/Agent Login,Reviewer/Agent Login,
