id,element,useCase,type,component
1,User:error lert about confliect,Add Ammouncement,entity,MessageController
2,User:empty announcement form,Add Ammouncement,control,displayanemptyformforannouncement
3,User:"announcement" link,Add Ammouncement,control,displayanemptyformforannouncement
4,User:announcement list,Add Ammouncement,control,displayanemptyformforannouncement
5,User:announcement page,Add Ammouncement,control,displayanemptyformforannouncement
6,User:site list page,Add Ammouncement,entity,HomePage PA
7,"announcement" link:display page with announcement list,Add Ammouncement,control,displayanemptyformforannouncement
8,display page with announcement list:announcement info,Add Ammouncement,control,displayanemptyformforannouncement
9,announcement list:display site list,Add Ammouncement,control,displayanemptyformforannouncement
10,display page with announcement list:announcement list,Add Ammouncement,control,displayanemptyformforannouncement
11,direct back to announcement page:announcement page,Add Ammouncement,control,displayanemptyformforannouncement
12,check conflict situation:error lert about confliect,Add Ammouncement,entity,MessageController
13,check conflict situation:record the announcement to db,Add Ammouncement,control,displayanemptyformforannouncement
14,empty announcement form:check conflict situation,Add Ammouncement,control,checkconflictsituation
15,record the announcement to db:direct back to announcement page,Add Ammouncement,control,displayanemptyformforannouncement
16,display an empty form for announcement:empty announcement form,Add Ammouncement,control,displayanemptyformforannouncement
17,site list page:display an empty form for announcement,Add Ammouncement,control,displayanemptyformforannouncement
18,display site list:site list page,Add Ammouncement,entity,HomePage PA
19,display site list:site list,Add Ammouncement,boundary,System Boundary
20,stl#User:error lert about confliect,Add Ammouncement,Stimulus,undefined
21,stl#User:empty announcement form,Add Ammouncement,Stimulus,undefined
22,stl#User:"announcement" link,Add Ammouncement,Stimulus,undefined
23,stl#User:announcement list,Add Ammouncement,Stimulus,undefined
24,stl#User:announcement page,Add Ammouncement,Stimulus,undefined
25,stl#User:site list page,Add Ammouncement,Stimulus,undefined
26,User:add site page,Add Site,boundary,HomePageAdmin
27,User:site list,Add Site,boundary,siteslink
28,User:existing site error message,Add Site,entity,MessageController
29,User:"sites" link,Add Site,boundary,siteslink
30,User:success message,Add Site,control,MessageManage Page
31,"sites" link:redirect to a page with the curernt sites list,Add Site,boundary,siteslink
32,add site information db:success message,Add Site,control,MessageManage Page
33,add site information db:site information,Add Site,control,checkconflictsituation
34,check existing situation for the new site:add site information db,Add Site,control,checkconflictsituation
35,add site page:check existing situation for the new site,Add Site,control,checkconflictsituation
36,display the add site info page:add site page,Add Site,boundary,HomePageAdmin
37,check existing situation for the new site:existing site error message,Add Site,entity,MessageController
38,display the add site info page:site information,Add Site,control,checkconflictsituation
39,site list:display the add site info page,Add Site,boundary,HomePageAdmin
40,redirect to a page with the curernt sites list:site information,Add Site,control,checkconflictsituation
41,redirect to a page with the curernt sites list:site list,Add Site,boundary,siteslink
42,stl#User:add site page,Add Site,Stimulus,undefined
43,stl#User:site list,Add Site,Stimulus,undefined
44,stl#User:existing site error message,Add Site,Stimulus,undefined
45,stl#User:"sites" link,Add Site,Stimulus,undefined
46,stl#User:success message,Add Site,Stimulus,undefined
47,User:"manage user" link,Add User,control,MessageManage Page
48,User:Display usc Id empty error,Add User,control,displayformwithtextinputarea
49,User:user information input page,Add User,control,displayformwithtextinputarea
50,User:empty announcement form,Add User,boundary,emptyannouncementform
51,User:USC ID existing error,Add User,control,displayformwithtextinputarea
52,User:user management page,Add User,control,MessageManage Page
53,User:success message,Add User,control,MessageManage Page
54,User:error lert about confliect,Add User,control,checkconflictsituation
55,User:display invalid email format,Add User,control,displayformwithtextinputarea
56,"manage user" link:redirect to a pgage for user management,Add User,control,MessageManage Page
57,check usc id exist or not:Display usc Id empty error,Add User,control,displayformwithtextinputarea
