id,element,useCase,type,component
1,Weight loser:add charity organization button,choose charity organization,boundary,Charity
2,Weight loser:access information on facebook error,choose charity organization,control,facebook
3,Weight loser:suggested charity list,choose charity organization,boundary,Charity
4,Weight loser:charity list,choose charity organization,boundary,Charity
5,send out emails to charities and sponsors:email protocol,choose charity organization,actor,ProfileManagementView
6,add charity to goal:facebook,choose charity organization,control,facebook
7,post on facebook:facebook,choose charity organization,control,facebook
8,displays a congradulatory message on facebook:facebook,choose charity organization,control,facebook
9,add charity to goal:access information on facebook error,choose charity organization,control,facebook
10,add charity organization button:show a list of available charity,choose charity organization,boundary,Charity
11,add charity to goal:goal,choose charity organization,entity,Goal
12,add charity to goal:post on facebook,choose charity organization,control,facebook
13,charity list:add charity to goal,choose charity organization,boundary,Charity
14,show a list of available charity:charity list,choose charity organization,boundary,Charity
15,suggested charity list:charity list,choose charity organization,boundary,Charity
16,displays a congradulatory message on facebook:charity list,choose charity organization,boundary,Charity
17,show a list of available charity:charity list,choose charity organization,boundary,Charity
18,show a list of available charity:displays a congradulatory message on facebook,choose charity organization,control,facebook
19,post on facebook:send out emails to charities and sponsors,choose charity organization,boundary,InviteSponsorPage
20,show a list of available charity:suggested charity list,choose charity organization,boundary,Charity
21,stl#Weight loser:add charity organization button,choose charity organization,Stimulus,undefined
22,stl#Weight loser:access information on facebook error,choose charity organization,Stimulus,undefined
23,stl#Weight loser:suggested charity list,choose charity organization,Stimulus,undefined
24,stl#Weight loser:charity list,choose charity organization,Stimulus,undefined
