id,element,useCase,type,component
1,User:Login in page,Login,boundary,Message
2,User:Homepage,Login,boundary,Message
3,show confirmation:Homepage,Login,boundary,Message
4,Login in page:input usename and password,Login,control,validateusenameandpassword
5,show confirmation:Login in page,Login,boundary,Message
6,input usename and password:validate usename and password,Login,control,validateusenameandpassword
7,validate usename and password:show confirmation,Login,control,Authentication
8,stl#User:Login in page,Login,Stimulus,undefined
9,stl#User:Homepage,Login,Stimulus,undefined
