id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Remove coupon,control,2,0,View stored coupons,View stored coupons - iOS,
2,Show details,boundary,1,3,View stored coupons,View stored coupons - iOS,
3,Coupons,entity,0,3,View stored coupons,View stored coupons - iOS,
4,Redeem coupon,control,0,1,View stored coupons,View stored coupons - iOS,
5,Dispute,entity,1,0,View stored coupons,View stored coupons - iOS,
6,Verify coupon,control,2,1,View stored coupons,View stored coupons - iOS,
7,Show coupons,boundary,1,1,View stored coupons,View stored coupons - iOS,
8,Get coupons list,control,2,1,View stored coupons,View stored coupons - iOS,
9,User,actor,1,0,View stored coupons,View stored coupons - iOS,
10,Originating page,boundary,1,1,View stored coupons,View stored coupons - iOS,
