id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,invalid input error message,boundary,0,2,Login,Login
2,error message for empty input,boundary,0,2,Login,Login
3,user info,entity,0,1,Login,Login
4,query authentication info,control,1,1,Login,Login
5,pre-check if input is empty,control,3,1,Login,Login
6,login page,boundary,1,1,Login,Login
7,User,actor,3,0,Login,Login
8,Session,entity,0,2,Logout,Logout
9,clear session,control,4,1,Logout,Logout
10,logout button,boundary,1,1,Logout,Logout
11,User,actor,3,0,Logout,Logout
12,successful information for creation,boundary,0,2,Create profile,Create profile
13,existing profile error message,boundary,0,2,Create profile,Create profile
14,error message for empty input,boundary,0,2,Create profile,Create profile
15,user info,entity,0,1,Create profile,Create profile
16,send information in db,control,1,1,Create profile,Create profile
17,pre-check if input is empty,control,4,1,Create profile,Create profile
18,Create Profile Page,boundary,1,1,Create profile,Create profile
19,User,actor,4,0,Create profile,Create profile
20,successful change message,boundary,0,2,Manage Profile,Manage Profile
21,pre-check required fields,control,2,1,Manage Profile,Manage Profile
22,profile edit page,boundary,1,1,Manage Profile,Manage Profile
23,invalid information error message,boundary,0,2,Manage Profile,Manage Profile
24,user info,entity,0,1,Manage Profile,Manage Profile
25,update profile entry,control,2,1,Manage Profile,Manage Profile
26,display profile edit page,control,0,1,Manage Profile,Manage Profile
27,Edit profile button,boundary,1,1,Manage Profile,Manage Profile
28,User,actor,5,0,Manage Profile,Manage Profile
29,No product error message,boundary,0,2,Search Product,Search Product
30,product page,boundary,0,2,Search Product,Search Product
31,product,entity,0,1,Search Product,Search Product
32,query product by criteria,control,3,1,Search Product,Search Product
33,product search page,boundary,1,1,Search Product,Search Product
34,User,actor,3,0,Search Product,Search Product
35,not available error message,boundary,0,2,Add to cart,Add to cart
36,product,entity,0,1,Add to cart,Add to cart
37,check db if available,control,3,1,Add to cart,Add to cart
38,cart,entity,0,1,Add to cart,Add to cart
39,add to cart,control,1,1,Add to cart,Add to cart
40,add to cart button,boundary,1,1,Add to cart,Add to cart
41,User,actor,2,0,Add to cart,Add to cart
42,missing information for payment message,boundary,0,3,Place Order,Place Order
43,invalid payment inforrmation,boundary,1,1,Place Order,Place Order
44,send error message for invalid payment information,control,1,1,Place Order,Place Order
45,redirect to payment page,control,1,2,Place Order,Place Order
46,payment successful message,boundary,1,1,Place Order,Place Order
47,approve transaction and display successful message,control,1,1,Place Order,Place Order
48,thirdpart payment system,actor,2,1,Place Order,Place Order
