NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, NT, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum
1,Login,8,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.1428571428571428,4.333333333333333,4.952380952380952,3
2,Logout,4,1,1,1,1,4,0,1,1,0,0,0,1,1,0,0,0,0,1,4,4,1
3,Create profile,10,1,4,2,1,8,3,1,4,0,0,0,4,1,0,0,0,0,1.25,4.25,5.3125,4
4,Manage Profile,10,1,4,3,1,9,2,1,3,0,0,1,3,1,0,0,0,0,1.1111111111111112,4.25,4.722222222222222,4
5,Search Product,7,1,3,1,1,6,2,1,3,0,0,0,3,1,0,0,0,0,1.1666666666666667,4,4.666666666666667,3
6,Add to cart,7,1,2,2,2,7,1,2,3,0,0,0,3,2,0,0,0,0,1,4.333333333333333,4.333333333333333,3
7,Place Order,13,2,4,5,0,11,3,0,4,1,2,0,4,0,0,0,0,0,1.1818181818181819,3.75,4.431818181818182,4
8,View order history,7,1,3,1,1,6,2,1,3,0,0,0,3,1,0,0,0,0,1.1666666666666667,4,4.666666666666667,3
9,View Past Transactions,7,1,3,1,1,6,2,1,3,0,0,0,3,1,0,0,0,0,1.1666666666666667,4,4.666666666666667,3
10,Track Order,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2
11,Provide tracking information,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2
12,Review and Rating,9,1,3,3,1,8,2,1,3,0,0,0,3,1,0,0,0,0,1.125,4.333333333333333,4.875,3
13,Upload catalog,8,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.1428571428571428,4.333333333333333,4.952380952380952,3
14,Manage Catalog,8,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.1428571428571428,4.333333333333333,4.952380952380952,3
15,Private message,8,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.1428571428571428,4,4.571428571428571,3
16,Private Message - Florist,11,1,3,3,1,8,2,3,5,0,0,0,5,3,0,0,0,0,1.375,4,5.5,5
