id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Presses the accept comment button.-->User:Presses the accept comment button.-->Presses the accept comment button.:Comment is accepted-->Comment is accepted:Hompage,Approve/Reject Comment,CTRL;EXTCLL;INT,4,1,7,3,28
2,stl#User:Hompage-->User:Hompage,Approve/Reject Comment,CTRL;EXTCLL;INT,2,0,3,1,6
3,stl#User:Selects a comment to view.-->User:Selects a comment to view.-->Selects a comment to view.:Comment is displayed along with the assignee that submitted it-->Comment is displayed along with the assignee that submitted it:Comment is accepted-->Comment is accepted:Hompage,Approve/Reject Comment,CTRL;EXTCLL;INT,5,1,7.5,4,37.5
4,stl#User:Selects the view submitted comments option-->User:Selects the view submitted comments option-->Selects the view submitted comments option:displays the view submitted comments screen-->displays the view submitted comments screen:Comment is displayed along with the assignee that submitted it-->Comment is displayed along with the assignee that submitted it:Comment is accepted-->Comment is accepted:Hompage,Approve/Reject Comment,CTRL;EXTCLL;INT,6,1,7.8,5,46.8
