id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,User->add image for switch page->save image in db->Error message when saving image,EQ,CTRL|INT,4,undefined,1,0,1,Add image  for switch,Add image for switch
2,User->add image for switch page->save image in db->Image,EI,CTRL|DM|EI,4,undefined,1,1,1,Add image  for switch,Add image for switch
