id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,error when saving profile,boundary,0,2,Update his/her profile,Update his/her profile,
2,redirect to profile page,control,1,1,Update his/her profile,Update his/her profile,
3,profile is updated feedback,boundary,1,2,Update his/her profile,Update his/her profile,
4,save edited profile,control,4,1,Update his/her profile,Update his/her profile,
5,profile,entity,0,2,Update his/her profile,Update his/her profile,
6,view profile button,boundary,1,1,Update his/her profile,Update his/her profile,
7,redirect to edit page,control,1,1,Update his/her profile,Update his/her profile,
8,profile edit page,boundary,1,2,Update his/her profile,Update his/her profile,
9,load user profile,control,1,2,Update his/her profile,Update his/her profile,
10,profile detail page,boundary,2,2,Update his/her profile,Update his/her profile,
11,User,actor,5,0,Update his/her profile,Update his/her profile,
