"","MMRE","rank1","PRED25","rank2","MAE","rank3","MDMRE","rank4","rank*"
"1",0.95,1,0.13,2,21214.51,1,0.78,1,1
"2",1.16,5,0.13,1,27865.87,5,0.96,6,4
"3",1.03,3,0.09,3,24008.52,2,0.87,2,2
"4",1.25,6,0.04,5,29854.15,6,0.89,3,6
"5",1.04,4,0.04,4,24228.65,3,0.91,4,3
"6",1.03,2,0.02,6,24920.53,4,0.93,5,4
