1,26.43,49.32,8.92,55,90,112,1737.74,7.46,2816
2,100.4,127.88,39.65,50,115,318,921.89,6.83,13203
3,3.79,6.17,3.96,45,77,4,1494.04,7.31,2816
4,0.95,1.54,0.99,25,86,13,455.2,6.12,713
5,58.98,66.42,34.69,50,89,70,1124.97,7.03,1408
6,19.03,31.14,10.9,80,99,66,725.39,6.59,1408
7,7.58,12.34,7.93,35,91,8,1488.27,7.31,1408
8,5.69,9.25,5.95,65,84,6,1353.47,7.21,3408
9,90.05,160.42,60.46,50,123,162,1456.52,7.28,2816
10,64.4,80.89,48.57,25,118,54,2212.73,7.7,3112
11,444.35,646.69,165.52,85,198,475,3103.52,8.04,42112
12,2.84,4.63,2.97,10,101,319.24,758.85,6.63,3218
13,9.48,15.42,9.91,40,92,118,1289.74,7.16,3123
14,7.58,12.34,7.93,25,117,8,1574.41,7.36,3408
