"","mean","se","t","median","CrI","CrI"
"l1",0.99,0.04,24.47,0.99,0.91,1.07
"sd",2180.43,690.14,3.16,2410.37,650.31,3026.71
"effortAdj",213.24,1.67,127.54,213.37,209.57,216.16
"sd",2180.43,690.14,3.16,2410.37,650.31,3026.71
