,X1,X2,,,,,
TL,0,Inf,,,,,
TD,0,Inf,,,,,
DETs,0,Inf,,,,,
,X1.1,X2.1,X3,,,,
,0,4.2,Inf,,,,
,0,11.5,Inf,,,,
,0,9.2,Inf,,,,
,X1.2,X2.2,X3.1,X4,,,
,0,3.8,4.8,Inf,,,
,0,10.3,14.2,Inf,,,
,0,6.8,12.3,Inf,,,
,X1.3,X2.3,X3.2,X4.1,X5,,
,0,3.1,4.2,5.3,Inf,,
,0,9.3,11.5,15.2,Inf,,
,0,5.2,9.2,13.2,Inf,,
,X1.4,X2.4,X3.3,X4.2,X5.1,X6,
,0,2.8,3.8,4.9,6.2,Inf,
,0,8.1,10.1,13.4,18.9,Inf,
,0,3.4,8.9,12.3,17.2,Inf,
,X1.5,X2.5,X3.4,X4.3,X5.2,X6.1,X7
,0,2.3,3.1,4.2,5.1,6.8,Inf
,0,7.5,8.9,11.5,15.6,21.5,Inf
,0,2.1,5.6,9.2,14.5,18.5,Inf
