,mean,CrI,CrI
l1,2.52,0.52,4.18
l2,2.56,0.49,4.17
l3,4.86,2.52,12.78
l4,4.8,3.42,7.8
l5,8.09,5.88,13.65
l6,18.83,7.57,24.38
l7,19.03,9.7,37.02
effortAdj,33.69,31.04,37.68
