,SWTI,SWTII,SWTIII,UUCP,AFP,COSMIC,SLOC,LOG_SLOC
SWTI,1,0.97,0.96,0.34,0.57,0.66,0.5,0.4
SWTII,--,1,0.99,0.38,0.6,0.68,0.56,0.43
SWTIII,--,--,1,0.38,0.6,0.69,0.57,0.44
UUCP,--,--,--,1,0.35,0.32,0.32,0.36
AFP,--,--,--,--,1,0.59,0.52,0.49
COSMIC,--,--,--,--,--,1,0.42,0.37
SLOC,--,--,--,--,--,--,1,0.95
LOG_SLOC,--,--,--,--,--,--,--,1
