id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,system error when saving registration information,boundary,0,2,Register as Customer,Register as Customer,
2,main page,boundary,0,2,Register as Customer,Register as Customer,
3,duplicate registration information,boundary,0,2,Register as Customer,Register as Customer,
4,main page,control,1,1,Register as Customer,Register as Customer,
5,successfully save registration information,boundary,1,2,Register as Customer,Register as Customer,
6,save customer information,control,4,1,Register as Customer,Register as Customer,
7,validate registration information,control,5,1,Register as Customer,Register as Customer,
8,registration page,boundary,1,2,Register as Customer,Register as Customer,
9,displays registration page,control,1,1,Register as Customer,Register as Customer,
10,registration information invalid message,boundary,0,2,Register as Customer,Register as Customer,
11,display spinner while saving information,boundary,0,2,Register as Customer,Register as Customer,
12,customer,entity,0,2,Register as Customer,Register as Customer,
13,register button,boundary,1,1,Register as Customer,Register as Customer,
14,Customer,actor,9,0,Register as Customer,Register as Customer,
