id,operation,element
1,ChoosingDegreeProgramPage,ChoosingDegreeProgramPage
2,Loginpage,ChoosingDegreeProgramPage
3,homepage,ChoosingDegreeProgramPage
4,initialpage,ChoosingDegreeProgramPage
5,choosedegreeandyearbutton,ChoosingDegreeProgramPage
6,Course,Course
7,addCourse,CourseController
8,deleteCourse,CourseController
9,updateCourse,CourseController
10,showCourse,CourseController
11,usernameorpasswordiswrong,CourseController
12,udpateuserprofile,CourseController
13,addCourseGroup,CourseGroupController
14,deleteCourseGroup,CourseGroupController
15,showCourseGroup,CourseGroupController
16,updateCourseGroup,CourseGroupController
17,Degree,Degree
18,showDegreeRequiredCourse,DegreeController
19,addDegreeRequirement,DegreeController
20,deleteDegreeRequirement,DegreeController
21,updateDegreeRequirement,DegreeController
22,showDegreeTitle,DegreeController
23,DesiredCoursesSelectionPage,DesiredCoursesSelectionPage
24,deletionsuccessmessage,DesiredCoursesSelectionPage
25,showconfirmationcourseisadded,DesiredCoursesSelectionPage
26,checkcorrectnessoftheinput,DesiredCoursesSelectionPage
27,deletioncannotfinish,DesiredCoursesSelectionPage
28,showmessagethatsenssionwasclosed,DesiredCoursesSelectionPage
29,inputdataisnotcurrectmessage,DesiredCoursesSelectionPage
30,deletionconfirmationdialog,DesiredCoursesSelectionPage
31,redirecttoinitialpage,DesiredCoursesSelectionPage
32,Requirement,Requirement
33,showconfirmationthenewrequirementisadded,Requirement
34,showspecifiedrequirementsbyparameters,Requirement
35,addRequirement,RequirementController
36,deleteRequirement,RequirementController
37,updateRequirement,RequirementController
38,showRequirement,RequirementController
39,SemesterSelectionPlage,SemesterSelectionPlage
40,deletebutton,SemesterSelectionPlage
41,retrieveinformationassociatedwithusername,SemesterSelectionPlage
42,usernamedb,SemesterSelectionPlage
43,updatesuccessmessage,SemesterSelectionPlage
44,notappropriatemessage,SemesterSelectionPlage
45,theusercannotbedeleteerrormessage,SemesterSelectionPlage
46,addSimpleReq,SimpleRequirementController
47,deleteSimpleReq,SimpleRequirementController
48,showSimpleReq,SimpleRequirementController
49,updateSimpleReq,SimpleRequirementController
50,SimpleRequirement,Simple_Requirement
51,addDesiredCourse,StudyPlanController
52,deleteDesiredCourse,StudyPlanController
53,addCompulsory,StudyPlanController
54,checkpreprequisite,StudyPlanController
55,checkcorequisite,StudyPlanController
56,generateCoursebin,StudyPlanController
57,topologicalSort,StudyPlanController
58,findCriticialPath,StudyPlanController
59,assignSemester,StudyPlanController
60,checkAvailability,StudyPlanController
61,studyplan,StudyPlanController
62,StudyPlanOutputPage,StudyPlanOutputPage
63,logoutbutton,StudyPlanOutputPage
64,logoutmessage,StudyPlanOutputPage
65,updatepage,StudyPlanOutputPage
66,coursegroup,course_group
67,addnewcoursepageupdatesourcepage,course_group
68,helpactorhtm,$help://actor.htm
69,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
70,deleteuserfromdatabase,$help://use_case_model_pattern.htm
71,helpusecasediagramhtm,$help://usecasediagram.htm
72,SystemBoundary,System Boundary
73,addnewusertothedb,addnewusertothedb
74,adduserprofilepage,addnewusertothedb
75,userinfo,addnewusertothedb
