id,attribute,type,element
1,course_id,EAJava_int,Course
2,course_prefix,EAJava_string,Course
3,course_number,EAJava_int,Course
4,course_title,EAJava_string,Course
5,course_credit,EAJava_int,Course
6,course_prerequistite_ids,EAJava_string,Course
7,course_corequisite_ids,EAJava_string,Course
8,course_oncampus,EAJava_string,Course
9,course_online,EAJava_string,Course
10,undefined,EAID_427F3594_31F9_4d06_A72A_EC1BA46B4F65,Course
11,degree_id,EAJava_int,Degree
12,degree_title,EAJava_string,Degree
13,degree_req_ids,EAJava_string,Degree
14,undefined,EAID_DDB3256D_BBE2_4702_9D31_5DBB0B1B0F6D,Degree
15,req_id,EAJava_int,Requirement
16,req_title,EAJava_string,Requirement
17,req_sr_ids,EAJava_string,Requirement
18,undefined,EAID_1D8C9D20_EF82_4bcb_BEE9_BE6D7EE9E460,Requirement
19,sr_id,EAJava_int,Simple_Requirement
20,sr_title,EAJava_string,Simple_Requirement
21,sr_required_num,EAJava_int,Simple_Requirement
22,sr_cg_id_fk,EAJava_int,Simple_Requirement
23,sr_not,EAJava_boolean,Simple_Requirement
24,undefined,EAID_5E6FD425_6942_4f2b_B717_E783EE4FCD39,Simple_Requirement
25,cd_id,EAJava_int,course_group
26,cg_title,EAJava_string,course_group
27,cg_course_ids,EAJava_string,course_group
28,undefined,EAID_7A731CB0_84EC_4020_9348_46B7016569CC,course_group
