d,path,useCase,transactional,tran_length,total_degree, TL, DETs, TD, arch_diff
1,stl#User:photo list->User:photo list->photo list:pop up photo connection error->pop up photo connection error:photo,Admin deletes photo,TRAN_NA,4,5,4,9,5,20
2,stl#User:photo list->User:photo list->photo list:select photos->select photos:confirm delete photos->confirm delete photos:photo,Admin deletes photo,TRAN_NA,5,3.75,5,4,3.75,18.75
3,stl#User:photo list->User:photo list->photo list:cancel deletion->cancel deletion:select photos->select photos:confirm delete photos->confirm delete photos:photo,Admin deletes photo,TRAN_NA,6,3,6,7,3,18
4,stl#Actor:photo list->Actor:photo list->photo list:pop up photo connection error->pop up photo connection error:photo,Admin deletes photo,TRAN_NA,4,5,4,4,5,20
5,stl#Actor:photo list->Actor:photo list->photo list:select photos->select photos:confirm delete photos->confirm delete photos:photo,Admin deletes photo,TRAN_NA,5,3.75,5,13,3.75,18.75
6,stl#Actor:photo list->Actor:photo list->photo list:cancel deletion->cancel deletion:select photos->select photos:confirm delete photos->confirm delete photos:photo,Admin deletes photo,TRAN_NA,6,3,6,15,3,18
1,stl#User:Search box->User:Search box,Admin searches for photo by event,CTRL,2,15,2,12,15,30
2,stl#User:Search box->User:Search box,Admin searches for photo by event,EXTCLL,2,15,2,12,15,30
3,stl#User:Search box->User:Search box,Admin searches for photo by event,INT,2,15,2,2,15,30
4,stl#User:Event list->User:Event list->Event list:Get photo list->Get photo list:display photo list->display photo list:Photo list,Admin searches for photo by event,TRAN_NA,5,3.75,5,16,3.75,18.75
5,stl#User:Event list->User:Event list->Event list:Get photo list->Get photo list:photo->photo:Pop up photo connection error->Pop up photo connection error:Event list->Event list:Get photo list,Admin searches for photo by event,TRAN_NA,7,2.5,7,6,2.5,17.5
6,stl#User:Admin page->User:Admin page,Admin searches for photo by event,CTRL,2,15,2,7,15,30
7,stl#User:Admin page->User:Admin page,Admin searches for photo by event,EXTCLL,2,15,2,4,15,30
8,stl#User:Admin page->User:Admin page,Admin searches for photo by event,INT,2,15,2,9,15,30
9,stl#Actor:Admin page->Actor:Admin page,Admin searches for photo by event,CTRL,2,15,2,13,15,30
10,stl#Actor:Admin page->Actor:Admin page,Admin searches for photo by event,EXTCLL,2,15,2,16,15,30
11,stl#Actor:Admin page->Actor:Admin page,Admin searches for photo by event,INT,2,15,2,1,15,30
12,stl#Actor:Event list->Actor:Event list->Event list:Get photo list->Get photo list:display photo list->display photo list:Photo list,Admin searches for photo by event,TRAN_NA,5,3.75,5,4,3.75,18.75
13,stl#Actor:Event list->Actor:Event list->Event list:Get photo list->Get photo list:photo->photo:Pop up photo connection error->Pop up photo connection error:Event list->Event list:Get photo list,Admin searches for photo by event,TRAN_NA,7,2.5,7,10,2.5,17.5
14,stl#Actor:Search box->Actor:Search box,Admin searches for photo by event,CTRL,2,15,2,4,15,30
15,stl#Actor:Search box->Actor:Search box,Admin searches for photo by event,EXTCLL,2,15,2,10,15,30
16,stl#Actor:Search box->Actor:Search box,Admin searches for photo by event,INT,2,15,2,10,15,30
1,stl#User:User list->User:User list->User list:Get photo list->Get photo list:display photo list->display photo list:Photo list,Admin searches for photo by user,TRAN_NA,5,3.75,5,9,3.75,18.75
2,stl#User:User list->User:User list->User list:Get photo list->Get photo list:photo->photo:Pop up photo connection error->Pop up photo connection error:User list->User list:Get photo list,Admin searches for photo by user,TRAN_NA,7,2.5,7,12,2.5,17.5
3,stl#User:Search box->User:Search box,Admin searches for photo by user,CTRL,2,15,2,16,15,30
4,stl#User:Search box->User:Search box,Admin searches for photo by user,EXTCLL,2,15,2,7,15,30
5,stl#User:Search box->User:Search box,Admin searches for photo by user,INT,2,15,2,2,15,30
6,stl#User:Admin page->User:Admin page,Admin searches for photo by user,CTRL,2,15,2,11,15,30
7,stl#User:Admin page->User:Admin page,Admin searches for photo by user,EXTCLL,2,15,2,4,15,30
8,stl#User:Admin page->User:Admin page,Admin searches for photo by user,INT,2,15,2,7,15,30
9,stl#Actor:User list->Actor:User list->User list:Get photo list->Get photo list:display photo list->display photo list:Photo list,Admin searches for photo by user,TRAN_NA,5,3.75,5,7,3.75,18.75
10,stl#Actor:User list->Actor:User list->User list:Get photo list->Get photo list:photo->photo:Pop up photo connection error->Pop up photo connection error:User list->User list:Get photo list,Admin searches for photo by user,TRAN_NA,7,2.5,7,10,2.5,17.5
11,stl#Actor:Admin page->Actor:Admin page,Admin searches for photo by user,CTRL,2,15,2,12,15,30
12,stl#Actor:Admin page->Actor:Admin page,Admin searches for photo by user,EXTCLL,2,15,2,5,15,30
13,stl#Actor:Admin page->Actor:Admin page,Admin searches for photo by user,INT,2,15,2,7,15,30
14,stl#Actor:Search box->Actor:Search box,Admin searches for photo by user,CTRL,2,15,2,14,15,30
15,stl#Actor:Search box->Actor:Search box,Admin searches for photo by user,EXTCLL,2,15,2,15,15,30
16,stl#Actor:Search box->Actor:Search box,Admin searches for photo by user,INT,2,15,2,10,15,30
1,stl#User:delete photos related to expired events automatically->User:delete photos related to expired events automatically->delete photos related to expired events automatically:photo,Automatic deletion,CTRL,3,7.5,3,14,7.5,22.5
2,stl#User:delete expired location photos automatically->User:delete expired location photos automatically->delete expired location photos automatically:photo,Automatic deletion,CTRL,3,7.5,3,11,7.5,22.5
3,stl#User:Delete expired events automatically->User:Delete expired events automatically->Delete expired events automatically:event,Automatic deletion,CTRL,3,7.5,3,8,7.5,22.5
4,stl#Actor:Delete expired events automatically->Actor:Delete expired events automatically->Delete expired events automatically:event,Automatic deletion,CTRL,3,7.5,3,10,7.5,22.5
5,stl#Actor:delete photos related to expired events automatically->Actor:delete photos related to expired events automatically->delete photos related to expired events automatically:photo,Automatic deletion,CTRL,3,7.5,3,4,7.5,22.5
6,stl#Actor:delete expired location photos automatically->Actor:delete expired location photos automatically->delete expired location photos automatically:photo,Automatic deletion,CTRL,3,7.5,3,11,7.5,22.5
1,stl#User:Sign up Screen->User:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:verify password->verify password:verify confirm password,Create Account,TRAN_NA,6,3,6,10,3,18
2,"stl#User:Sign up Screen->User:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:verify password->verify password:Display pop-up ""invalid password"" on Sign Up Screen->Display pop-up ""invalid password"" on Sign Up Screen:Sign up Screen->Sign up Screen:verify email",Create Account,TRAN_NA,8,2.142857143,8,13,2.142857143,17.14285714
3,stl#User:Sign up Screen->User:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:User Collection,Create Account,TRAN_NA,5,3.75,5,5,3.75,18.75
4,"stl#User:Sign up Screen->User:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:Display pop-up ""invalid Useername or Username is already in use"" on Sign Up Screen->Display pop-up ""invalid Useername or Username is already in use"" on Sign Up Screen:Sign up Screen->Sign up Screen:verify email",Create Account,TRAN_NA,7,2.5,7,3,2.5,17.5
5,"stl#User:Sign up Screen->User:Sign up Screen->Sign up Screen:verify email->verify email:Display pop-up ""invalid email or email is already in use"" on Sign Up Screen->Display pop-up ""invalid email or email is already in use"" on Sign Up Screen:Sign up Screen->Sign up Screen:verify email",Create Account,TRAN_NA,6,3,6,16,3,18
6,stl#Actor:Sign up Screen->Actor:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:verify password->verify password:verify confirm password,Create Account,TRAN_NA,6,3,6,12,3,18
7,"stl#Actor:Sign up Screen->Actor:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:verify password->verify password:Display pop-up ""invalid password"" on Sign Up Screen->Display pop-up ""invalid password"" on Sign Up Screen:Sign up Screen->Sign up Screen:verify email",Create Account,TRAN_NA,8,2.142857143,8,0,2.142857143,17.14285714
8,stl#Actor:Sign up Screen->Actor:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:User Collection,Create Account,TRAN_NA,5,3.75,5,7,3.75,18.75
9,"stl#Actor:Sign up Screen->Actor:Sign up Screen->Sign up Screen:verify email->verify email:verify username->verify username:Display pop-up ""invalid Useername or Username is already in use"" on Sign Up Screen->Display pop-up ""invalid Useername or Username is already in use"" on Sign Up Screen:Sign up Screen->Sign up Screen:verify email",Create Account,TRAN_NA,7,2.5,7,6,2.5,17.5
10,"stl#Actor:Sign up Screen->Actor:Sign up Screen->Sign up Screen:verify email->verify email:Display pop-up ""invalid email or email is already in use"" on Sign Up Screen->Display pop-up ""invalid email or email is already in use"" on Sign Up Screen:Sign up Screen->Sign up Screen:verify email",Create Account,TRAN_NA,6,3,6,15,3,18
1,stl#User:Profile Photo Screen->User:Profile Photo Screen->Profile Photo Screen:Save Profile Photo->Save Profile Photo:Profile,Create Profile,TRAN_NA,4,5,4,6,5,20
2,stl#User:Profile Photo Screen->User:Profile Photo Screen->Profile Photo Screen:Display available photos on Photos Screen->Display available photos on Photos Screen:Photos Screen->Photos Screen:Display Selected Photo on Profile Photo Screen->Display Selected Photo on Profile Photo Screen:Profile Photo Screen->Profile Photo Screen:Display available photos on Photos Screen,Create Profile,TRAN_NA,7,2.5,7,10,2.5,17.5
3,stl#User:Profile Photo Screen->User:Profile Photo Screen->Profile Photo Screen:Display available photos on Photos Screen->Display available photos on Photos Screen:Photos Screen->Photos Screen:Display Selected Photo on Profile Photo Screen->Display Selected Photo on Profile Photo Screen:Profile Photo Screen->Profile Photo Screen:Save Profile Photo->Save Profile Photo:Profile,Create Profile,TRAN_NA,8,2.142857143,8,9,2.142857143,17.14285714
4,stl#Actor:Profile Photo Screen->Actor:Profile Photo Screen->Profile Photo Screen:Save Profile Photo->Save Profile Photo:Profile,Create Profile,TRAN_NA,4,5,4,15,5,20
5,stl#Actor:Profile Photo Screen->Actor:Profile Photo Screen->Profile Photo Screen:Display available photos on Photos Screen->Display available photos on Photos Screen:Photos Screen->Photos Screen:Display Selected Photo on Profile Photo Screen->Display Selected Photo on Profile Photo Screen:Profile Photo Screen->Profile Photo Screen:Display available photos on Photos Screen,Create Profile,TRAN_NA,7,2.5,7,13,2.5,17.5
6,stl#Actor:Profile Photo Screen->Actor:Profile Photo Screen->Profile Photo Screen:Display available photos on Photos Screen->Display available photos on Photos Screen:Photos Screen->Photos Screen:Display Selected Photo on Profile Photo Screen->Display Selected Photo on Profile Photo Screen:Profile Photo Screen->Profile Photo Screen:Save Profile Photo->Save Profile Photo:Profile,Create Profile,TRAN_NA,8,2.142857143,8,17,2.142857143,17.14285714
1,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Handle Validate Error->Handle Validate Error:Event Collection,Create a Private Event,TRAN_NA,4,5,4,8,5,20
2,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Validate hashtag containts alphanume dash underscore->Validate hashtag containts alphanume dash underscore:Validate hashtag uniqueness->Validate hashtag uniqueness:Handle Validate Error->Handle Validate Error:Event Collection,Create a Private Event,TRAN_NA,6,3,6,15,3,18
3,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Validate hashtag containts alphanume dash underscore->Validate hashtag containts alphanume dash underscore:Validate hashtag uniqueness->Validate hashtag uniqueness:Event Collection,Create a Private Event,TRAN_NA,5,3.75,5,12,3.75,18.75
4,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Validate hashtag containts alphanume dash underscore->Validate hashtag containts alphanume dash underscore:Handle Validate Error->Handle Validate Error:Event Collection,Create a Private Event,TRAN_NA,5,3.75,5,7,3.75,18.75
5,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Handle Validate Error->Handle Validate Error:Event Collection,Create a Private Event,TRAN_NA,4,5,4,10,5,20
6,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Validate hashtag containts alphanume dash underscore->Validate hashtag containts alphanume dash underscore:Validate hashtag uniqueness->Validate hashtag uniqueness:Handle Validate Error->Handle Validate Error:Event Collection,Create a Private Event,TRAN_NA,6,3,6,6,3,18
7,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Validate hashtag containts alphanume dash underscore->Validate hashtag containts alphanume dash underscore:Validate hashtag uniqueness->Validate hashtag uniqueness:Event Collection,Create a Private Event,TRAN_NA,5,3.75,5,3,3.75,18.75
8,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Validate hashtag containts alphanume dash underscore->Validate hashtag containts alphanume dash underscore:Handle Validate Error->Handle Validate Error:Event Collection,Create a Private Event,TRAN_NA,5,3.75,5,14,3.75,18.75
1,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Handle Validate Error->Handle Validate Error:Event Collection,Create a Public Event,TRAN_NA,4,5,4,11,5,20
2,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Validate hashtag containts alphanume dash underscore->Validate hashtag containts alphanume dash underscore:Validate hashtag uniqueness->Validate hashtag uniqueness:Handle Validate Error->Handle Validate Error:Event Collection,Create a Public Event,TRAN_NA,6,3,6,6,3,18
