id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Teacher select page->User:Teacher select page->Teacher select page:Save information->Save information:Update database->Update database:Database,assign teacher to course,CTRL;EXTCLL;DM;EI,5,2,1.75,4,8.75
2,stl#User:Teacher select page->User:Teacher select page->Teacher select page:Save information->Save information:Update database->Update database:Confirmation message->Confirmation message:Homepage,assign teacher to course,CTRL;EXTCLL;INT,6,2,2,5,12
3,stl#User:Homepage->User:Homepage,assign teacher to course,CTRL;EXTCLL;INT,2,0,2,1,4
