id,element,useCase,type,component
1,send an activation link to user's email:Email protocol,Register,actor,emailprototocol
2,Weight loser:login page,Register,boundary,Homepage
3,Weight loser:error message,Register,boundary,Homepage
4,Weight loser:account creation page,Register,control,redirecttheusertocreatgoalpage
5,Weight loser:Confirmation message,Register,boundary,errorinaccessfacebookinformation
6,Weight loser:redundant registration error,Register,boundary,errorinaccessfacebookinformation
7,redirect to the account creation page:facebook,Register,boundary,errorinaccessfacebookinformation
8,show confirmation message:Confirmation message,Register,boundary,errorinaccessfacebookinformation
9,account creation page:validate the entered information for redundancy,Register,boundary,errorinaccessfacebookinformation
10,redirect to the account creation page:account creation page,Register,control,redirecttheusertocreatgoalpage
11,validate the entered information for redundancy:error message,Register,boundary,Homepage
12,login page:redirect to the account creation page,Register,control,redirecttheusertocreatgoalpage
13,validate the entered information for redundancy:redundant registration error,Register,boundary,errorinaccessfacebookinformation
14,send an activation link to user's email:user,Register,entity,user
15,send an activation link to user's email:show confirmation message,Register,boundary,errorinaccessfacebookinformation
16,validate the entered information for redundancy:send an activation link to user's email,Register,boundary,errorinaccessfacebookinformation
17,stl#Weight loser:login page,Register,Stimulus,undefined
18,stl#Weight loser:error message,Register,Stimulus,undefined
19,stl#Weight loser:account creation page,Register,Stimulus,undefined
20,stl#Weight loser:Confirmation message,Register,Stimulus,undefined
21,stl#Weight loser:redundant registration error,Register,Stimulus,undefined
