id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#User:Customize  Data serivce page-->User:Customize  Data serivce page-->Customize  Data serivce page:Customize data-->Customize data:Confirmation page-->Confirmation page:Homepage,Customize Data Service Subscription Notification,5,3,1,0,0
2,stl#User:Customize  Data serivce page-->User:Customize  Data serivce page-->Customize  Data serivce page:Customize data-->Customize data:Confirmation page-->Confirmation page:Customize  Data serivce page-->Customize  Data serivce page:Customize data,Customize Data Service Subscription Notification,6,3,2,0,0
3,stl#User:Homepage-->User:Homepage,Customize Data Service Subscription Notification,2,1,0,0,0
