id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Select puchasing optison->User:Select puchasing optison->Select puchasing optison:Display final course->Display final course:Connect to course merchant->Connect to course merchant:Verifiy the payment details->Verifiy the payment details:Homepage,Purchase Courses,CTRL;EXTCLL;INT,6,1,3.2,5,19.200000000000003
2,stl#User:Click on purchasing options->User:Click on purchasing options->Click on purchasing options:Display purchasing options->Display purchasing options:Display final course->Display final course:Connect to course merchant->Connect to course merchant:Verifiy the payment details->Verifiy the payment details:Homepage,Purchase Courses,CTRL;EXTCLL;INT,7,2,3.3333333333333335,6,23.333333333333336
3,stl#User:Buy button ->User:Buy button ->Buy button :Connect to course merchant->Connect to course merchant:Verifiy the payment details->Verifiy the payment details:Homepage,Purchase Courses,CTRL;EXTCLL;INT,5,1,2.5,4,12.5
4,stl#User:Homepage->User:Homepage,Purchase Courses,CTRL;EXTCLL;INT,2,7,2,1,4
5,stl#User:Course list view page->User:Course list view page->Course list view page:Display list course ->Display list course :Display purchasing options->Display purchasing options:Display final course->Display final course:Connect to course merchant->Connect to course merchant:Verifiy the payment details->Verifiy the payment details:Homepage,Purchase Courses,CTRL;EXTCLL;INT,8,1,3.7142857142857144,7,29.714285714285715
