id,element,useCase,type,component
1,User:Course list view page,Purchase Courses,control,Courses
2,User:Homepage,Purchase Courses,boundary,Homepage
3,User:Buy button ,Purchase Courses,control,Text tutorials
4,User:Click on purchasing options,Purchase Courses,control,Purchasing Option
5,User:Select puchasing optison,Purchase Courses,control,Purchasing Option
6,Buy button :Connect to course merchant,Purchase Courses,control,Courses
7,Click on purchasing options:Display purchasing options,Purchase Courses,control,Purchasing Option
8,Connect to course merchant:Verifiy the payment details,Purchase Courses,control,Student Profile 
9,Display final course:Connect to course merchant,Purchase Courses,control,Courses
10,Course list view page:Display list course ,Purchase Courses,control,Courses
11,Select puchasing optison:Display final course,Purchase Courses,control,Displayconfirmation
12,Display purchasing options:Display final course,Purchase Courses,control,Displayconfirmation
13,Display list course :Display purchasing options,Purchase Courses,control,Purchasing Option
14,Verifiy the payment details:Homepage,Purchase Courses,boundary,Homepage
15,stl#User:Course list view page,Purchase Courses,Stimulus,undefined
16,stl#User:Homepage,Purchase Courses,Stimulus,undefined
17,stl#User:Buy button ,Purchase Courses,Stimulus,undefined
18,stl#User:Click on purchasing options,Purchase Courses,Stimulus,undefined
19,stl#User:Select puchasing optison,Purchase Courses,Stimulus,undefined
