id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Scan QR Code,control,1,1,Redeem Coupon,Redeem Coupon - Android,
2,Input Coupon Code ID,control,1,1,Redeem Coupon,Redeem Coupon - Android,
3,Redeem Coupon Page,boundary,2,1,Redeem Coupon,Redeem Coupon - Android,
4,Click Redeem Button,boundary,1,2,Redeem Coupon,Redeem Coupon - Android,
5,Remove,control,1,1,Redeem Coupon,Redeem Coupon - Android,
6,Admin Login page,boundary,1,1,Redeem Coupon,Redeem Coupon - Android,
7,Enter Username and password,control,1,1,Redeem Coupon,Redeem Coupon - Android,
8,Database,entity,1,0,Redeem Coupon,Redeem Coupon - Android,
9,Display redeemed coupon page,control,2,1,Redeem Coupon,Redeem Coupon - Android,
10,Redeemed coupon record page,boundary,0,3,Redeem Coupon,Redeem Coupon - Android,
11,Enter Username and password,control,2,1,Redeem Coupon,Redeem Coupon - Android,
12,User,actor,3,0,Redeem Coupon,Redeem Coupon - Android,
13,Login page,boundary,1,1,Redeem Coupon,Redeem Coupon - Android,
