id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
38,User:Clicks Create button-->Clicks Create button:generates posting identification data-->generates posting identification data:Show confirmation page-->Show confirmation page:Homepage,Create Posting,4,4,0,0,0
39,User:Clicks Create button-->Clicks Create button:generates posting identification data-->generates posting identification data:Show confirmation page-->Show confirmation page:Posting db,Create Posting,4,4,0,0,0
40,User:Clicks Create button-->Clicks Create button:generates posting identification data-->generates posting identification data:Show confirmation page-->Show confirmation page:fills out relevant information-->fills out relevant information:generates posting identification data-->generates posting identification data:Posting is created in the system-->Posting is created in the system:generates a message to inform the User -->generates a message to inform the User :Homepage,Create Posting,8,8,0,0,0
41,User:Clicks Create button-->Clicks Create button:generates posting identification data-->generates posting identification data:Show confirmation page-->Show confirmation page:fills out relevant information-->fills out relevant information:generates posting identification data-->generates posting identification data:Posting is created in the system-->Posting is created in the system:generates a message to inform the User -->generates a message to inform the User :Posting db,Create Posting,8,8,0,0,0
42,User:Clicks Create button-->Clicks Create button:generates posting identification data-->generates posting identification data:Show confirmation page-->Show confirmation page:fills out relevant information-->fills out relevant information:generates posting identification data-->generates posting identification data:Show confirmation page,Create Posting,6,6,0,0,0
43,User:selects an appropriate time period to look for data-->selects an appropriate time period to look for data:returns data from the time period-->returns data from the time period:outputs its Hiring Data in a readable format-->outputs its Hiring Data in a readable format:Homepage,Create reports,4,3,1,0,0
44,User:selects an appropriate time period to look for data-->selects an appropriate time period to look for data:returns data from the time period-->returns data from the time period:outputs its Hiring Data in a readable format-->outputs its Hiring Data in a readable format:Posting db,Create reports,4,3,1,0,0
45,User:Homepage,Create reports,1,1,0,0,0
46,User:selects Export Report-->selects Export Report:outputs its Hiring Data in a readable format-->outputs its Hiring Data in a readable format:Homepage,Create reports,3,2,1,0,0
47,User:selects Export Report-->selects Export Report:outputs its Hiring Data in a readable format-->outputs its Hiring Data in a readable format:Posting db,Create reports,3,2,1,0,0
48,User:selects the appropriate posting-->selects the appropriate posting:archives the posting -->archives the posting :removes the posting from online view-->removes the posting from online view:informs User of the successful post deletion-->informs User of the successful post deletion:Homepage,Delete Employee Account,5,5,0,0,0
49,User:selects the appropriate posting-->selects the appropriate posting:archives the posting -->archives the posting :removes the posting from online view-->removes the posting from online view:posting db,Delete Employee Account,4,4,0,0,0
50,User:Homepage,Delete Employee Account,1,1,0,0,0
51,User:click delete button-->click delete button:archives the posting -->archives the posting :removes the posting from online view-->removes the posting from online view:informs User of the successful post deletion-->informs User of the successful post deletion:Homepage,Delete Employee Account,5,5,0,0,0
52,User:click delete button-->click delete button:archives the posting -->archives the posting :removes the posting from online view-->removes the posting from online view:posting db,Delete Employee Account,4,4,0,0,0
53,User:click delete button-->click delete button:removes the posting from online view-->removes the posting from online view:informs User of the successful post deletion-->informs User of the successful post deletion:Homepage,Delete Employee Account,4,4,0,0,0
54,User:click delete button-->click delete button:removes the posting from online view-->removes the posting from online view:posting db,Delete Employee Account,3,3,0,0,0
55,User:Delete Posting Page-->Delete Posting Page:Delete Posting information-->Delete Posting information:Show confirmation page-->Show confirmation page:Delete Posting Page-->Delete Posting Page:Delete Posting information,Delete Posting,5,5,0,0,0
56,User:Delete Posting Page-->Delete Posting Page:Delete Posting information-->Delete Posting information:Show confirmation page-->Show confirmation page:Homepage,Delete Posting,4,4,0,0,0
