NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD,Arch_Diff,SWTI,SWTII,SWTIII
1,Experiment Use Case,9,16,0,13,0,13,0,0,0,0,0,9,0,0,0,9,7.888888888888889,19,149.88888888888889,20,28,20
2,Use Case1,1,2,0,1,1,0,0,0,0,1,0,1,0,1,0,1,2,1,2,10,9,7
3,Use Case2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TestAlgorithm1,3,9,0,7,2,5,0,0,0,0,0,1,0,0,2,1,14,5.636363636363637,78.9090909090909,15,15,12
5,Use Case1,1,2,0,1,1,0,0,0,0,1,0,1,0,1,0,1,2,1,2,10,9,7
6,Use Case2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Test use case,3,9,0,7,2,5,0,0,0,0,0,1,0,0,2,1,14,5.636363636363637,78.9090909090909,15,15,12
8,Use Case1,1,2,0,1,1,0,0,0,0,1,0,1,0,1,0,1,2,1,2,10,9,7
9,Use Case2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Buy Partner Subscription,4,17,0,13,6,5,0,0,0,0,0,0,0,0,4,0,0,6.423076923076923,0,20,20,19
11,Cancel Partner Subscription,7,14,0,11,0,9,0,0,0,0,0,7,0,0,0,7,5,9.857142857142858,49.28571428571429,15,19,15
12,Design Coupon,6,15,0,13,7,5,0,0,0,0,0,0,0,0,6,0,0,4.25,0,15,15,12
13,Modify Offer,3,8,0,7,0,2,0,0,0,0,0,3,0,0,0,3,5.333333333333333,4.076923076923077,21.74358974358974,15,15,12
14,Partner Login,3,22,0,9,2,1,0,0,0,0,0,1,0,0,2,1,16,4.384615384615385,70.15384615384616,10,10,9
15,Publish Offer,6,15,0,12,1,1,0,0,0,0,0,2,0,0,4,2,13.5,6.714285714285714,90.64285714285714,10,12,11
16,Test Coupon,4,16,0,13,11,0,0,0,0,0,0,0,0,0,4,0,0,11.23076923076923,0,15,21,18
17,Upload Image,6,15,0,10,5,5,0,0,0,3,0,5,0,3,1,5,3.6,4,14.4,10,10,9
