id,element,useCase,type,outboundDegree,inboundDegree
1,App user:display failure message,App user login,0,undefined,undefined
2,App user:Registered user popup,App user login,0,undefined,undefined
3,App user:Signup Screen,App user login,0,undefined,undefined
4,Query for first time users:Account collection,App user login,0,undefined,undefined
5,receive response:Query for first time users,App user login,0,undefined,undefined
6,check first time user:Query for first time users,App user login,0,undefined,undefined
7,Registered user alert:Query for first time users,App user login,0,undefined,undefined
8,Registered user popup:Registered user alert,App user login,0,undefined,undefined
9,receive response:Registered user alert,App user login,0,undefined,undefined
10,Signup Screen:check first time user,App user login,0,undefined,undefined
11,check first time user:Video record screen,App user login,0,undefined,undefined
12,receive response:display failure message,App user login,0,undefined,undefined
13,stl#App user:display failure message,App user login,0,undefined,undefined
14,stl#App user:Registered user popup,App user login,0,undefined,undefined
15,stl#App user:Signup Screen,App user login,0,undefined,undefined
