id,element,useCase,type,component
1,User:2D view of selected sphere,Open existing shpere,boundary,EditSphereView
2,User:"create sectors and nodes" page,Open existing shpere,control,CreateSphereView
3,User:"Open a saved sphere" button,Open existing shpere,boundary,OpenSphereView
4,User:Displays a list of saved spheres,Open existing shpere,boundary,Displaysuccessmessage
5,"Open a saved sphere" button:Requests a sphere list o the user from database,Open existing shpere,control,DatabaseAdapter
6,display 2d view of selected sphere:"create sectors and nodes" page,Open existing shpere,control,CreateSphereView
7,display 2d view of selected sphere:2D view of selected sphere,Open existing shpere,boundary,EditSphereView
8,Displays a list of saved spheres:Displays a list of saved spheres,Open existing shpere,boundary,Displaysuccessmessage
9,Requests a sphere list o the user from database:Displays a list of saved spheres,Open existing shpere,boundary,Displaysuccessmessage
10,Displays a list of saved spheres:display 2d view of selected sphere,Open existing shpere,boundary,EditSphereView
11,Requests a sphere list o the user from database:sphere,Open existing shpere,entity,SphereModel
12,stl#User:2D view of selected sphere,Open existing shpere,Stimulus,undefined
13,stl#User:"create sectors and nodes" page,Open existing shpere,Stimulus,undefined
14,stl#User:"Open a saved sphere" button,Open existing shpere,Stimulus,undefined
15,stl#User:Displays a list of saved spheres,Open existing shpere,Stimulus,undefined
