id, element_name, attribute_num,operation_num
EAID_813105F2_C8B0_469a_A957_0F46A141734C,Domain Model,0,0,0
EAID_540373E7_BA84_4df4_BB9B_53180ED21371,Domain Objects,0,0,8
EAID_6E7FD364_0395_4ffa_9280_90A22350B804,Domain Classes,0,0,33
