NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum
1,Login,8,2,2,3,0,7,2,0,3,1,2,0,3,0,0,0,0,0,1.1428571428571428,3.3333333333333335,3.8095238095238093,3
2,Logout,8,1,2,2,1,6,1,1,2,0,0,0,2,1,0,0,0,0,1.3333333333333333,4.5,6,2
3,Create Profile,30,3,8,9,1,21,10,2,13,1,0,0,13,2,0,0,0,0,1.4285714285714286,4.615384615384615,6.593406593406593,13
4,Create short summary/headline for profile,13,1,4,3,1,9,4,1,5,0,0,0,5,1,0,0,0,0,1.4444444444444444,4.4,6.355555555555556,5
5,Update profile picture,18,1,7,4,1,13,6,1,7,0,0,0,7,1,0,0,0,0,1.3846153846153846,4.142857142857143,5.736263736263736,7
6,Send Message,16,1,4,6,2,13,4,2,6,0,0,0,6,2,0,0,0,0,1.2307692307692308,4.833333333333333,5.948717948717949,6
7,View sent messages,8,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.1428571428571428,4.666666666666667,5.333333333333333,3
8,Get recommendation,9,1,3,3,1,8,2,1,3,0,0,0,3,1,0,0,0,0,1.125,4.666666666666667,5.25,3
9,General Search Functionality,9,1,3,3,1,8,2,1,3,0,0,0,3,1,0,0,0,0,1.125,5.333333333333333,6,3
10,Advanced Search Functionality,19,1,6,4,3,14,5,3,8,0,0,0,8,3,0,0,0,0,1.3571428571428572,5.5,7.464285714285714,8
11,Send connection request,6,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1.2,4,4.8,2
12,Accept/Reject connection,7,1,3,1,1,6,2,2,4,0,0,0,4,2,0,0,0,0,1.1666666666666667,4,4.666666666666667,4
13,Cancel Connection,9,1,3,3,1,8,2,1,3,0,0,0,3,1,0,0,0,0,1.125,4,4.5,3
14,Follow/unfollow company,8,1,2,1,1,5,2,2,4,0,0,0,4,2,0,0,0,0,1.6,4,6.4,4
15,Manage Advertisement,33,1,7,11,1,20,10,7,17,0,0,0,17,7,0,0,0,0,1.65,4.470588235294118,7.376470588235294,17
16,Write recommendation letter,16,1,4,5,2,12,3,2,5,0,0,0,5,2,0,0,0,0,1.3333333333333333,5.4,7.2,5
17,Accept/Reject recommendation letter,9,1,3,3,1,8,2,1,3,0,0,0,3,1,0,0,0,0,1.125,4.333333333333333,4.875,3
18,Create Group,11,1,4,3,1,9,3,1,4,0,0,0,4,1,0,0,0,0,1.2222222222222223,4.5,5.5,4
19,Group management,19,1,4,6,1,12,4,5,9,0,0,0,9,5,0,0,0,0,1.5833333333333333,4.111111111111111,6.509259259259259,9
20,Join/leave group,11,1,3,3,1,8,3,1,4,0,0,0,4,1,0,0,0,0,1.375,4.25,5.84375,4
21,Invite frieds through email,21,2,5,6,2,15,5,3,9,1,2,0,9,3,0,0,0,0,1.4,5.111111111111111,7.155555555555554,9
22,Invite friends from LinkedIn,23,3,6,8,1,18,6,1,10,3,5,0,10,1,0,0,0,0,1.2777777777777777,3.7,4.727777777777778,10
23,Invite friends to group,13,1,3,3,2,9,3,3,6,0,0,0,6,3,0,0,0,0,1.4444444444444444,4.333333333333333,6.259259259259259,6
24,Post an update,15,1,4,4,1,10,4,2,6,0,0,0,6,2,0,0,0,0,1.5,4.833333333333333,7.25,6
25,View social feed,10,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.4285714285714286,4.333333333333333,6.19047619047619,3
26,Comment on a post,14,1,4,4,1,10,5,3,8,0,0,0,8,3,0,0,0,0,1.4,4.625,6.475,8
