id,path,functional,transactional,path_length,diagram,useCase
1,User->Login page->check with blackprofessions external system->BlackProfessionals.net checking system,FUNC_NA,CTRL|EXTIVK,undefined,Login,Login
2,BlackProfessionals.net checking system->redirect to main page->Main page,FUNC_NA,CTRL|EXTCLL|INT,undefined,Login,Login
3,BlackProfessionals.net checking system->login fail and display error messsage->Login page,FUNC_NA,CTRL|EXTCLL|INT,undefined,Login,Login
4,User->Logout button->clear current session->Session,EI,CTRL|DM|EI,undefined,Logout,Logout
5,User->Logout button->clear current session->redirect to login page->Login page,EQ,CTRL|INT,undefined,Logout,Logout
6,User->Sign-in form->send email for verification->Email protocol,FUNC_NA,CTRL|EXTIVK,undefined,Create Profile,Create Profile
7,User->Sign-in form->send email for verification->check validity of input information->Invalid email format,EQ,CTRL|INT,undefined,Create Profile,Create Profile
8,User->Sign-in form->send email for verification->check validity of input information->save entered user information->User Info,EI,CTRL|DM|EI,undefined,Create Profile,Create Profile
9,User->Sign-in form->send email for verification->check validity of input information->Not consistent passwords,EQ,CTRL|INT,undefined,Create Profile,Create Profile
10,User->Not consistent passwords->redirect to sign in page->Sign-in form,EQ,CTRL|INT,undefined,Create Profile,Create Profile
11,User->Invalid email format->redirect to sign in page->Sign-in form,EQ,CTRL|INT,undefined,Create Profile,Create Profile
12,User->LikedIn Credential Input Page->Query user information from LinkedIN->Invalid/incorrect LinkedIn credentials,EQ,CTRL|INT,undefined,Create Profile,Create Profile
13,User->LikedIn Credential Input Page->Query user information from LinkedIN->display login failure message with LinkIn->Login error,EQ,CTRL|INT,undefined,Create Profile,Create Profile
14,User->LikedIn Credential Input Page->Query user information from LinkedIN->save it to user info->User Info,EI,CTRL|DM|EI,undefined,Create Profile,Create Profile
15,User->LikedIn Credential Input Page->Query user information from LinkedIN->save it to user info->display information from LinkedIN->My Profile,EQ,CTRL|INT,undefined,Create Profile,Create Profile
16,User->LikedIn Button->open linkedin crendential input page->LikedIn Credential Input Page,EQ,CTRL|INT,undefined,Create Profile,Create Profile
17,User->Login error->redirect to sign in page->Sign-in form,EQ,CTRL|INT,undefined,Create Profile,Create Profile
18,User->Invalid/incorrect LinkedIn credentials->redirect to sign in page->Sign-in form,EQ,CTRL|INT,undefined,Create Profile,Create Profile
19,User->Headline edit field->check input headline->save updated headline->My Profile Page,EQ,CTRL|INT,undefined,Create short summary/headline for profile,Create short summary/headline for profile
20,User->Headline edit field->check input headline->save updated headline->Headline,EI,CTRL|DM|EI,undefined,Create short summary/headline for profile,Create short summary/headline for profile
21,User->Headline edit field->check input headline->headline input error message,EQ,CTRL|INT,undefined,Create short summary/headline for profile,Create short summary/headline for profile
22,User->headline edit icon->popup window for headline edit->My Profile Page,EQ,CTRL|INT,undefined,Create short summary/headline for profile,Create short summary/headline for profile
23,User->headline edit icon->popup window for headline edit->Headline edit field,EQ,CTRL|INT,undefined,Create short summary/headline for profile,Create short summary/headline for profile
24,User->profile edit icon->popup profile edit page->profile edit page,EQ,CTRL|INT,undefined,Update profile picture,Update profile picture
25,User->profile edit page->popup image selector field->Image selector field,EQ,CTRL|INT,undefined,Update profile picture,Update profile picture
26,User->Image selector field->save image->invalid file name,EQ,CTRL|INT,undefined,Update profile picture,Update profile picture
27,User->Image selector field->save image->profile,EI,CTRL|DM|EI,undefined,Update profile picture,Update profile picture
28,User->Image selector field->save image->invalid file size error message,EQ,CTRL|INT,undefined,Update profile picture,Update profile picture
