id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,login fail and display error messsage,control,1,1,Login,Login
2,Main page,boundary,0,2,Login,Login
3,redirect to main page,control,1,1,Login,Login
4,check with blackprofessions external system,control,1,1,Login,Login
5,BlackProfessionals.net checking system,actor,2,1,Login,Login
6,Login page,boundary,1,2,Login,Login
7,User,actor,2,0,Login,Login
8,Session,entity,0,1,Logout,Logout
9,redirect to login page,control,1,2,Logout,Logout
10,Login page,boundary,0,3,Logout,Logout
11,clear current session,control,3,1,Logout,Logout
12,Logout button,boundary,1,1,Logout,Logout
13,User,actor,2,0,Logout,Logout
14,Invalid/incorrect LinkedIn credentials,boundary,1,2,Create Profile,Create Profile
15,Invalid email format,boundary,1,2,Create Profile,Create Profile
16,Not consistent passwords,boundary,1,2,Create Profile,Create Profile
17,check validity of input information,control,3,1,Create Profile,Create Profile
18,redirect to sign in page,control,1,4,Create Profile,Create Profile
19,display login failure message with LinkIn,control,1,1,Create Profile,Create Profile
20,Login error,boundary,1,2,Create Profile,Create Profile
21,display information from LinkedIN,control,1,1,Create Profile,Create Profile
22,My Profile,boundary,0,2,Create Profile,Create Profile
23,save it to user info,control,2,1,Create Profile,Create Profile
24,Query user information from LinkedIN,control,4,1,Create Profile,Create Profile
25,LikedIn Credential Input Page,boundary,1,2,Create Profile,Create Profile
26,LinkedIn,actor,0,0,Create Profile,Create Profile
27,open linkedin crendential input page,control,1,1,Create Profile,Create Profile
28,LikedIn Button,boundary,1,1,Create Profile,Create Profile
29,Email protocol,actor,0,1,Create Profile,Create Profile
30,User Info,entity,0,2,Create Profile,Create Profile
31,save entered user information,control,2,1,Create Profile,Create Profile
32,send email for verification,control,2,1,Create Profile,Create Profile
33,Sign-in form,boundary,1,2,Create Profile,Create Profile
34,User,actor,9,0,Create Profile,Create Profile
35,headline input error message,boundary,0,2,Create short summary/headline for profile,Create short summary/headline for profile
36,save updated headline,control,2,1,Create short summary/headline for profile,Create short summary/headline for profile
37,My Profile Page,boundary,0,3,Create short summary/headline for profile,Create short summary/headline for profile
38,check input headline,control,2,1,Create short summary/headline for profile,Create short summary/headline for profile
39,Headline,entity,0,1,Create short summary/headline for profile,Create short summary/headline for profile
40,Headline edit field,boundary,1,3,Create short summary/headline for profile,Create short summary/headline for profile
41,popup window for headline edit,control,3,1,Create short summary/headline for profile,Create short summary/headline for profile
42,headline edit icon,boundary,1,1,Create short summary/headline for profile,Create short summary/headline for profile
43,User,actor,4,0,Create short summary/headline for profile,Create short summary/headline for profile
44,invalid file name,boundary,0,2,Update profile picture,Update profile picture
45,invalid file size error message,boundary,0,2,Update profile picture,Update profile picture
46,picture format error message,boundary,0,2,Update profile picture,Update profile picture
47,redirect to profile page,control,1,1,Update profile picture,Update profile picture
48,profile page,boundary,0,2,Update profile picture,Update profile picture
49,save image,control,5,1,Update profile picture,Update profile picture
50,Image selector field,boundary,1,2,Update profile picture,Update profile picture
51,popup image selector field,control,1,1,Update profile picture,Update profile picture
52,profile,entity,0,1,Update profile picture,Update profile picture
53,profile edit page,boundary,1,2,Update profile picture,Update profile picture
54,popup profile edit page,control,1,1,Update profile picture,Update profile picture
55,profile edit icon,boundary,1,1,Update profile picture,Update profile picture
56,User,actor,7,0,Update profile picture,Update profile picture
57,redirect to message page,control,1,1,Send Message,Send Message
58,message,entity,0,1,Send Message,Send Message
59,send message,control,2,1,Send Message,Send Message
60,invalid input warning message,boundary,0,2,Send Message,Send Message
61,check input message,control,2,1,Send Message,Send Message
62,close new message page,control,1,1,Send Message,Send Message
63,Message page,boundary,0,3,Send Message,Send Message
64,Connection,entity,0,1,Send Message,Send Message
65,retrive connections of a user,control,2,1,Send Message,Send Message
66,Message edit page,boundary,2,2,Send Message,Send Message
67,display new message page,control,1,1,Send Message,Send Message
68,New message button,boundary,1,1,Send Message,Send Message
69,User,actor,4,0,Send Message,Send Message
70,no sent messages,boundary,0,2,View sent messages,View sent messages
71,message,entity,0,1,View sent messages,View sent messages
72,display list of sent messages,control,2,1,View sent messages,View sent messages
