id,path,functional,transactional,path_length,diagram,useCase
1,User->Order history button->retrieve order history->order,EI,CTRL|DM|EI,undefined,View order history,View order history
2,User->Order history button->retrieve order history->no order history page,EQ,CTRL|INT,undefined,View order history,View order history
3,User->Order history button->retrieve order history->order history list,EQ,CTRL|INT,undefined,View order history,View order history
