id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Hompage->User:Hompage,View Meeting,CTRL;EXTCLL;INT,2,0,3,1,6
2,stl#User:Chooses the option to view meeting->User:Chooses the option to view meeting->Chooses the option to view meeting:displays the view meeting screen.->displays the view meeting screen.:Displays meeting details and assignee->Displays meeting details and assignee:Hompage,View Meeting,CTRL;EXTCLL;INT,5,2,4.5,4,22.5
3,stl#User:Selects a meeting->User:Selects a meeting->Selects a meeting:Displays meeting details and assignee->Displays meeting details and assignee:Hompage,View Meeting,CTRL;EXTCLL;INT,4,1,4.333333333333333,3,17.333333333333332
