NUM,Project,Effort,Component_Num,Precedence_Num,Stimulus_Num,Response_Num,Tran_Num,UseCase_Num,Activity_Num,Actor_Num,Boundary_Num,ControlNum,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD,Arch_Diff,DET,RET,ILF,EIF,EI,EO,EQ,FN,IFPUG,NI,NE,MKII,EXT,ERY,RED,WRT,COSMIC,UAW,TCF,EF,Simple_UC,Average_UC,Complex_UC, UUCP, UCP,NOET,NOAAE,NORT,NEM,NSR,NOS,WMC,MPC,DIT,NIVPC,NUMS,NCI,NCIF,RR,NTLC,NOCPBC,NT,NOA,NOUC,NOR,ANAPUC,ANRPUC,NOC,NOIR,NOUR,NORR,NOM,NOP,NOCA,NOASSOC,ANMC,ANPC,ANCAC,ANASSOCC,ANRELC,NOAPC,NODET,NORET,NOMPC,NPPM,NMT,transaction_file,Duration,Personnel,PublishTime,StartTime,ActivePersonnel,Type,Commits,Files,Blanks,Comments,SLOC,Screens,UI Elements,Input Elements,Output Elements,Operations
1,AFHDownloader_S1W1L1_2019-6-12@1562926542058,1120,12,7,5,5,5,4,7,1,1,9,2,1,0,2,1,5,0,3,0,5,2.4,3,7.2,2020,12,86,5,0,0,19,5,110,5,5,14.32,5,5,5,5,20,2,1,1,3,0,0,15,17,11,2012,499,110,87,4,39.08196721,3.114754098,1.051724138,0.409836066,87,3,3,28,58,0.051724138,5,1,4,1,1.25,5,61,3,28,3,190,236,2012,465,3.114754098,1.242105263,32.98360656,7.62295082,8.180327869,32.98360656,1978,45,3.114754098,1.242105263,190,d:/AndroidAnalysis/GatorAnalysisResults5/AFHDownloader_S1W1L1_2019-6-12@1562926542058_analysis/filteredTransactionEvaluation.csv,663,2,7/4/2016,7/4/2016,0,Internet,69,278,1062,9342,19882,4,26,12,14,14
1,CallRecorder_S1W1L1_2019-6-12@1562926518816,520,6,25,5,5,5,3,25,1,0,5,1,0,0,0,0,4,0,0,1,4,7.5,67.25,504.375,2951,6,51,0,0,0,20,5,71,5,5,12.76,5,5,5,5,20,2,1,1,8,1,2,80,82,9,2940,1135,221,496,3,43.77142857,3.266666667,1.019417476,0.723809524,496,2,2,78,103,0.019417476,5,1,3,1,1.333333333,4,105,2,78,1,343,357,2940,1054,3.266666667,1.040816327,28,10.03809524,10.80952381,28,2909,91,3.266666667,1.040816327,343,d:/AndroidAnalysis/GatorAnalysisResults5/CallRecorder_S1W1L1_2019-6-12@1562926518816_analysis/filteredTransactionEvaluation.csv,0,0,0,0,0,System,0,348,1571,11440,47007,11,18,18,0,29
1,F-Droid_S1W1L1_2019-6-12@1562926491807,410,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,9,0,0,45,49,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,7,2,1.285714286,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d:/AndroidAnalysis/GatorAnalysisResults5/F-Droid_S1W1L1_2019-6-12@1562926491807_analysis/filteredTransactionEvaluation.csv,0,0,0,0,0,System,0,1090,11718,27387,151887,10,14,13,1,23
1,Firefox_Klar_S1W1L1_2019-5-15@1560625157760,627,8,5,5,5,5,8,5,2,0,7,1,5,0,0,5,5,0,5,0,5,2,5,10,5370,8,65,0,0,0,20,5,85,5,5,13.28,5,5,5,5,20,4,1,1,8,7,0,110,114,7,5370,5896,2430,0,8,70.95306859,5.846570397,1.149377593,0.675090253,0,72,36,448,482,0.159751037,5,2,8,2,1.25,5,554,77,448,65,3239,3161,5370,5306,5.846570397,0.975918493,9.693140794,9.577617329,10.64259928,9.693140794,5355,429,5.846570397,0.975918493,3239,d:/AndroidAnalysis/GatorAnalysisResults5/Firefox_Klar_S1W1L1_2019-5-15@1560625157760_analysis/filteredTransactionEvaluation.csv,841,54,6/13/2017,12/9/2016,15,Internet,2580,1350,10152,28510,169088,22,29,19,19,47
1,manglish_S1W1L1_2019-6-12@1562926484676,1200,6,1,1,1,1,24,1,2,0,4,2,0,0,0,0,1,0,0,0,1,2,1,2,2859,6,48,0,0,0,3,1,51,1,1,3.8,1,1,1,1,4,4,1,1,15,4,4,175,179,4,2859,159,55,23,24,27.74193548,2.258064516,1.103448276,0.322580645,23,2,3,13,29,0.103448276,1,2,24,2,1.083333333,13,31,3,13,3,70,61,2859,140,2.258064516,0.871428571,92.22580645,4.516129032,5.129032258,92.22580645,2854,26,2.258064516,0.871428571,70,d:/AndroidAnalysis/GatorAnalysisResults5/manglish_S1W1L1_2019-6-12@1562926484676_analysis/filteredTransactionEvaluation.csv,36,2,6/1/2019,5/12/2019,0,Reading,54,321,2392,18164,31721,50,168,0,0,87
1,NewPipe_S1W1L1_2019-5-15@1560625183900,49234,7,88,16,16,16,15,88,2,0,7,0,0,0,0,0,16,0,0,0,16,6.5,174.375,1133.4375,7482,7,52,0,0,0,61,16,113,16,16,37.66,16,16,16,16,64,4,1,1,9,6,1,120,124,7,7480,13150,4524,9661,15,78.74396135,5.954589372,1.273076923,0.842512077,9661,255,50,1135,780,0.366666667,16,2,15,2,1.133333333,8.5,1035,263,1135,221,6163,6699,7480,11531,5.954589372,1.086970631,7.22705314,11.1410628,12.70531401,7.22705314,7334,881,5.954589372,1.086970631,6163,d:/AndroidAnalysis/GatorAnalysisResults5/NewPipe_S1W1L1_2019-5-15@1560625183900_analysis/filteredTransactionEvaluation.csv,1332,153,9/15/2015,9/3/2015,31,Multimedia,4576,857,14599,30357,151322,21,64,52,12,57
1,opencamera_S1W1L1_2019-5-15@1560625238642,4212,8,10140,53,53,53,15,10140,2,0,8,0,0,0,0,0,53,0,0,0,53,192.3207547,444073.7736,85404603.29,3168,8,74,0,0,0,224,53,298,53,53,120.8,53,53,53,53,212,4,1,1,16,0,0,80,84,7,3154,9922,2079,3850,15,125.964497,9.553254438,1.134228188,1.127218935,3850,40,16,421,298,0.134228188,53,2,15,2,1.133333333,8.5,338,40,421,37,3229,3103,3154,9424,9.553254438,0.960978631,9.331360947,27.8816568,29.35502959,9.331360947,3011,295,9.553254438,0.960978631,3229,d:/AndroidAnalysis/GatorAnalysisResults5/opencamera_S1W1L1_2019-5-15@1560625238642_analysis/filteredTransactionEvaluation.csv,0,0,1/0/1900,1/0/1900,0,Multimedia,0,356,8590,11350,104621,15,151,148,3,31
1,selfnet-wificonfig-master_S1W1L1_2019-6-12@1562926399486,3218,2,3,3,3,3,1,3,1,0,1,1,0,0,0,0,3,0,0,0,3,2,3,6,95,2,17,0,0,0,9,3,26,3,3,7.24,3,3,3,3,12,2,1,1,2,0,0,10,12,2,93,66,22,22,1,36.85714286,2.928571429,1,0.214285714,22,0,0,3,14,0,3,1,1,1,2,2,14,0,3,0,41,30,93,63,2.928571429,0.731707317,6.642857143,4.5,4.714285714,6.642857143,57,11,2.928571429,0.731707317,41,d:/AndroidAnalysis/GatorAnalysisResults5/selfnet-wificonfig-master_S1W1L1_2019-6-12@1562926399486_analysis/filteredTransactionEvaluation.csv,578,3,3/4/2019,11/12/2018,0,Connectivity,61,51,94,103,1072,1,3,2,1,3
1,2048_S1W1L1_2019-4-28@1559050698438,560,7,18,7,7,7,3,18,2,0,4,3,1,0,0,1,5,0,1,2,5,5,29.2,146,843,7,52,0,0,0,24,7,76,7,7,17.5,7,7,7,7,28,4,1,1,3,1,0,25,29,7,841,3679,696,0,3,90.14173228,7.141732283,1.447058824,0.771653543,0,42,10,140,85,0.494117647,0,2,3,2,1.666666667,2.5,127,42,140,25,907,561,841,3472,7.141732283,0.618522602,6.622047244,27.33858268,28.96850394,6.622047244,841,111,7.141732283,0.618522602,907,d:/AndroidAnalysis/GatorAnalysisResults4/S1W1L1_5_29/2048_S1W1L1_2019-4-28@1559050698438_analysis/filteredTransactionEvaluation.csv,1770,11,no release,3/14/2014,1,game/brain games/puzzle,88,0,0,0,0,5,9,0,0,5
1,AnExplorer_S1W1L1_2019-4-29@1559144669093,1167,7,724,20,20,20,8,724,2,0,6,1,7,0,0,7,9,0,7,11,9,82.66666667,14916.88889,1233129.481,6000,7,58,0,0,0,89,20,147,20,20,46.62,20,20,20,20,80,0,1,1,0,0,0,0,0,7,5996,8965,2534,4704,8,92.30018762,7.082551595,1.245238095,0.69043152,4704,113,37,483,420,0.276190476,20,2,8,2,1.25,5,533,116,483,86,3775,4444,5996,8280,7.082551595,1.177218543,11.24953096,15.53470919,16.81988743,11.24953096,5867,425,7.082551595,1.177218543,3775,d:/AndroidAnalysis/GatorAnalysisResults4/S1W1L1_5_29/AnExplorer_S1W1L1_2019-4-29@1559144669093_analysis/filteredTransactionEvaluation.csv,2068,2,1/8/2017,3/31/2013,7,Tools/files,555,562,9858,12573,53427,19,150,119,31,24
