id,ID,Data_Quality,UFP,Year,IS,OT,AG,AT,DT,DP,LT,PPL,CA,FS,RS,N_effort_level1,N_effort,S_effort,N_PDR1,N_PDR,SDR,PET,PIT,I_Date,PAS,E_Plan,E_Specify,E_Design,E_Build,E_Test,E_Implement,E_Unrecorded,Recording_Method,Resource_Level,TSG,MTS,ATS,R_PWE_NPA,CASE_Tool,UM,HMA,Hardware1,Language1,OS1,IDE,DT1,DBS1,CS1,WS1,MS1,OP1,Dev_Methodologies,Dev_Techniques,JAD_Method,PMU,FPS,FPSA,Architecture,Client_Server?,Client_Roles,Server_Roles,TOS,CS_Description,DBMS_Used,Upper_CASE_Used,Other_CASE_Tools?,Other_CASE_Tool_Names,MIN_Defects,MAJ_Defects,X_Defects,TOT_Defects,P_Defects,S_Defects,D_Defects,MIN_B_Defects,MAJ_B_Defects,X_B_Defects,TOT_B_Defects,MIN_T_Defects,MAJ_T_Defects,X_T_Defects,TOT_T_Defects,MIN_I_Defects,MAJ_I_Defects,X_I_Defects,TOT_I_Defects,,,
1,24302,B,?,2007,Banking,Banking,Business Application,Financial transaction process/accounting,New Development,MF,3GL,Java,COSMIC,52,S,1305,1305,1188,25.1,25.1,?,11.9,?,5-Apr-07,?,?,0,46,545,597,0,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,Java,UNIX/AIX,?,?,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
2,25081,A,?,2007,Banking,Banking,Business Application,Financial transaction process/accounting,New Development,PC,3GL,C++,COSMIC,237,M1,600,600,600,4.4,4.4,9,3,?,10-Apr-09,Planning_Specification_Design_Build_Test_Implement_ProjManagement,67,47,97,143,66,180,0,Recorded work on project tasks each day,1,8-May,5,4.8,?,?,Yes,Developed In-house,?,Java,Windows,Eclipse,Eclipse,MySQL,?,Apache Tomcat 6.0.14,?,In House Framework (written in Java),Agile DevelopmentPersonal Software Process (PSP)Unified Process,?,?,?,COSMIC 2,COSMIC 2,Multi-tier with web public interface,Yes,Web/HTML browser,Security/authentication,?,?,Yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
3,28884,A,?,2007,Government,Government,Business Application,Management or performance reporting,New Development,Multi,4GL,Oracle,COSMIC,1570,L,35426,35426,15233,34.3,34.3,?,15,?,13-Sep-07,?,?,?,?,15233,?,?,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,C#.Net,Web client,?,?,?,?,?,?,?,?,?,?,?,COSMIC 2.2,COSMIC 2.2,Client server,Yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
4,29310,A,?,2007,Government,GovernmentHealth Sciences,Business Application,Stock control & order processing,New Development,PC,4GL,ASP.Net,COSMIC,441,M2,47493,47493,47493,23.7,23.7,2.9,10,0,6-Sep-08,Planning_Specification_Design_Build_Test_Implement,6893,3784,8766,16985,5050,5995,20,Recorded work on project tasks each day,1,61-70,68,33.3,80\%,Yes,Yes,Developed In-house,?,Java 2 EE,Windows XP,EclipseRational ClearCaseLuntBuildInhouse developed,Eclipse,Oracle,WebSphere,WebSphere,Tibco BusinessWorks,Rules engine: Ilog Jrules,Agile DevelopmentJoint Application Development (JAD)Multifunctional Teams,Data ModellingPrototyping,Yes,Yes,COSMIC 3.0,COSMIC 3.0,Client server,Yes,Run a computer-human interfaceData entry & validationData retrieval & presentationWeb/HTML browser,Database serverFTP serverHTML/web serverMessaging serverObject/component serverSecurity/authenticationBusiness logic + Integration to 30 other systems,?,?,Yes,Yes,Yes,MagicDraw UML,?,?,?,0,?,?,0,?,?,?,30,?,?,?,30,?,?,?,30,,,
5,29604,A,?,2007,Insurance,Insurance,Business Application,Financial transaction process/accounting,Enhancement,PC,4GL,ASP.Net,COSMIC,74,S,2707,2707,1597,6.1,6.1,?,5,?,23-Apr-07,?,?,?,?,1276,321,?,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,C#.Net,Web client,?,?,?,?,?,?,?,?,?,?,?,COSMIC 2.2,COSMIC 2.2,Stand alone,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
6,30611,B,?,2007,Manufacturing,DefenceAerospace / Automotive,Business Application,Change Management Tool,New Development,?,3GL,Java,COSMIC,110,M1,10147,10147,9234,25.1,25.1,?,?,?,20-Jan-06,?,?,0,1107,6004,1774,349,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,COBOL,IBM/zOS,?,?,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,0,0,?,0,?,?,?,?,?,?,?,?,?,?,22,?,?,?,?,,,
7,31240,B,?,2007,Medical & Health Care,Medical and Health Care,Business Application,Catalogue/register of things or events,New Development,Multi,3GL,C#,COSMIC,733,M2,3242,3242,2950,51.5,51.5,?,?,?,26-Jan-05,?,?,0,600,850,1000,500,0,Staff hours (recorded),1,?,?,?,?,?,?,?,?,Java,Windows,?,?,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
8,31397,B,?,2007,Professional Services,Professional Services,Business Application,Catalogue/register of things or events,New Development,Multi,3GL,Java,COSMIC,205,M1,11165,11165,11165,38,38,0.9,15,0,31-May-04,Planning_Specification_Design_Build_Test_Implement,?,?,?,?,?,?,11165,Recorded work on project tasks each day,1,21-30,21,?,80\%,No,Yes,Developed In-house,?,VB6,Windows XP ProWindows 2000,Visual Studio 6.0,No,SQL Server,Component,IIS,No,?,?,?,Yes,?,COSMIC 2.2,COSMIC 2.2,Client server,Yes,?,?,?,?,Yes,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
9,25271,B,?,2008,Banking,Banking,Business Application,Financial transaction process/accounting,Enhancement,PC,4GL,.Net,COSMIC,60,S,21665,22444,22444,19.8,20.5,7.4,2,0,9-Mar-06,Planning_Specification_Design_Build_Test_Implement,2036,3054,1763,9447,4479,886,0,Recorded work on project tasks each day,4,71-80,74,12.3,?,?,?,?,?,Oracle eBS,Windows Server,Oracle eBS,?,Oracle,?,?,?,?,?,?,?,?,COSMIC 2.2,COSMIC 2.2,Stand alone,?,?,?,?,?,Yes,?,?,?,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
10,27553,B,?,2008,Communication,general public (mobile phone end user),Business Application,Instant Messaging client,New Development,PC,3GL,Java,COSMIC,98,S,19306,19306,19306,48.5,48.5,1.3,10,0,6-Apr-06,Planning_Specification_Design_Build_Test_Implement,?,?,?,?,?,?,19306,Recorded total hours each day or week,1,21-30,30,?,?,No,Yes,Developed In-house,?,COBOL,Z-OS,TSO,No,IDMS-DB,IDMS-DC,No,In house,?,?,?,Yes,?,COSMIC 2.2,COSMIC 2.2,Client server,Yes,?,?,?,?,Yes,No,No,?,?,?,?,0,?,0,14,?,?,?,23,?,?,?,34,?,?,?,?,,,
11,28129,B,?,2008,Financial,'Financial,Property & Business Services',Business Application,Customer billing/relationship management,Re-development,PC,3GL,C#,COSMIC,912,M2,6590,6590,6590,25.9,25.9,5.3,6,?,1-Oct-05,?,?,?,?,?,?,?,6590,?,1,8-May,8,?,?,?,?,?,?,C++,TRU64,?,ladebug,?,?,?,?,?,?,?,?,?,COSMIC 3.0,COSMIC 3.0,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,
12,29311,A,?,2008,Government,Government,Business Application,Catalogue/register of things or events,New Development,Multi,3GL,Java,COSMIC,643,M2,3800,4224,4224,21.5,23.9,3.7,8,2,1-Aug-03,?,?,?,?,?,?,?,3800,Recorded hours on each project/day/week,4,8-May,6,2.5,?,No,Yes,Developed In-house,?,Java,Windows 2000,?,No,Oracle,WEBLOGIC,'IE,NN',No,Report Engine,?,?,?,?,COSMIC 2.2,COSMIC 2.2,Client server,Yes,Business logic or rule processingData retrieval & presentation,Database serverObject/component server,?,?,Yes,No,No,?,?,?,?,0,?,?,0,?,?,?,30,?,?,?,30,?,?,?,30,,
