id,element,useCase,type,outboundDegree,inboundDegree
1,Actor:Search box,Admin searches for photo by user,0,undefined,undefined
2,Actor:Admin page,Admin searches for photo by user,0,undefined,undefined
3,Actor:User list,Admin searches for photo by user,0,undefined,undefined
4,Account:Get user list,Admin searches for photo by user,0,undefined,undefined
5,pop up event connection error:Account,Admin searches for photo by user,0,undefined,undefined
6,User:Admin page,Admin searches for photo by user,0,undefined,undefined
7,pop up event connection error:Admin page,Admin searches for photo by user,0,undefined,undefined
8,Get user list:Admin page,Admin searches for photo by user,0,undefined,undefined
9,Display user list:User list,Admin searches for photo by user,0,undefined,undefined
10,Get user list:Display user list,Admin searches for photo by user,0,undefined,undefined
11,Get photo list:photo,Admin searches for photo by user,0,undefined,undefined
12,Get photo list:display photo list,Admin searches for photo by user,0,undefined,undefined
13,User list:Get photo list,Admin searches for photo by user,0,undefined,undefined
14,Get user list:Search box,Admin searches for photo by user,0,undefined,undefined
15,display photo list:Photo list,Admin searches for photo by user,0,undefined,undefined
16,Pop up photo connection error:User list,Admin searches for photo by user,0,undefined,undefined
17,photo:Pop up photo connection error,Admin searches for photo by user,0,undefined,undefined
18,User:Search box,Admin searches for photo by user,0,undefined,undefined
19,User:User list,Admin searches for photo by user,0,undefined,undefined
20,stl#Actor:Search box,Admin searches for photo by user,0,undefined,undefined
21,stl#Actor:Admin page,Admin searches for photo by user,0,undefined,undefined
22,stl#Actor:User list,Admin searches for photo by user,0,undefined,undefined
23,stl#User:Admin page,Admin searches for photo by user,0,undefined,undefined
24,stl#User:Search box,Admin searches for photo by user,0,undefined,undefined
25,stl#User:User list,Admin searches for photo by user,0,undefined,undefined
