id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Invalid input information,boundary,0,2,Manage Advertisement,Manage Advertisement,
2,Check input information,control,1,1,Manage Advertisement,Manage Advertisement,
3,Check input information,control,3,2,Manage Advertisement,Manage Advertisement,
4,Popup management panel,control,1,1,Manage Advertisement,Manage Advertisement,
5,Existing ads list,boundary,1,3,Manage Advertisement,Manage Advertisement,
6,Cancel updating and redirect to ,control,1,1,Manage Advertisement,Manage Advertisement,
7,Delete Ad,control,1,1,Manage Advertisement,Manage Advertisement,
8,display delete confirmation dialog,control,1,1,Manage Advertisement,Manage Advertisement,
9,Delete confirmation dialog,boundary,1,2,Manage Advertisement,Manage Advertisement,
10,Save added Ad,control,1,1,Manage Advertisement,Manage Advertisement,
11,Show Ad Add page,control,1,1,Manage Advertisement,Manage Advertisement,
12,Update ad description,control,3,1,Manage Advertisement,Manage Advertisement,
13,Ad detail page,boundary,1,2,Manage Advertisement,Manage Advertisement,
14,Ad add page,boundary,1,3,Manage Advertisement,Manage Advertisement,
15,Show Ad detail page,control,2,1,Manage Advertisement,Manage Advertisement,
16,Ad management panel,boundary,4,3,Manage Advertisement,Manage Advertisement,
17,ads,entity,0,5,Manage Advertisement,Manage Advertisement,
18,show up existing ads page,control,2,1,Manage Advertisement,Manage Advertisement,
19,Manage ads link,boundary,1,1,Manage Advertisement,Manage Advertisement,
20,User,actor,7,0,Manage Advertisement,Manage Advertisement,
