id,path,functional,transactional,path_length,diagram,useCase
1,User->Ad detail page->Check input information->Update ad description->ads,EI,CTRL|DM|EI,undefined,Manage Advertisement,Manage Advertisement
2,User->Ad detail page->Check input information->Update ad description->Ad management panel,EQ,CTRL|INT,undefined,Manage Advertisement,Manage Advertisement
3,User->Ad detail page->Check input information->Save added Ad->ads,EI,CTRL|DM|EI,undefined,Manage Advertisement,Manage Advertisement
4,User->Ad detail page->Check input information->Check input information->Invalid input information,EQ,CTRL|INT,undefined,Manage Advertisement,Manage Advertisement
5,User->Existing ads list->Popup management panel->Ad management panel,EQ,CTRL|INT,undefined,Manage Advertisement,Manage Advertisement
6,User->Manage ads link->show up existing ads page->Existing ads list,EQ,CTRL|INT,undefined,Manage Advertisement,Manage Advertisement
7,User->Manage ads link->show up existing ads page->ads,EI,CTRL|DM|EI,undefined,Manage Advertisement,Manage Advertisement
8,User->Delete confirmation dialog->Delete Ad->ads,EI,CTRL|DM|EI,undefined,Manage Advertisement,Manage Advertisement
9,User->Ad management panel->display delete confirmation dialog->Delete confirmation dialog,EQ,CTRL|INT,undefined,Manage Advertisement,Manage Advertisement
10,User->Ad management panel->Cancel updating and redirect to ->Existing ads list,EQ,CTRL|INT,undefined,Manage Advertisement,Manage Advertisement
11,User->Ad management panel->Show Ad Add page->Ad add page,EQ,CTRL|INT,undefined,Manage Advertisement,Manage Advertisement
12,User->Ad management panel->Show Ad detail page->ads,EI,CTRL|DM|EI,undefined,Manage Advertisement,Manage Advertisement
13,User->Ad management panel->Show Ad detail page->Ad detail page,EQ,CTRL|INT,undefined,Manage Advertisement,Manage Advertisement
14,User->Ad add page->Check input information->Update ad description->ads,EI,CTRL|DM|EI,undefined,Manage Advertisement,Manage Advertisement
15,User->Ad add page->Check input information->Update ad description->Ad management panel,EQ,CTRL|INT,undefined,Manage Advertisement,Manage Advertisement
16,User->Ad add page->Check input information->Save added Ad->ads,EI,CTRL|DM|EI,undefined,Manage Advertisement,Manage Advertisement
17,User->Ad add page->Check input information->Check input information->Invalid input information,EQ,CTRL|INT,undefined,Manage Advertisement,Manage Advertisement
