id,element,useCase,type,component
1,User:Home page,Search Business,control,Comments
2,User:No result found message,Search Business,boundary,Search Results
3,User:business list,Search Business,control,Business Claim
4,User:operation selection panel,Search Business,boundary,$help://use_case_model_pattern.htm
5,Home page:display selection panel,Search Business,control,Question Form
6,No result found message:redirect to search panel,Search Business,boundary,Search Results
7,Query business by options:No result found message,Search Business,boundary,Search Results
8,Query business by options:business,Search Business,control,Business Claim
9,Query business by options:business list,Search Business,control,Business Claim
10,operation selection panel:Query business by options,Search Business,control,Business Claim
11,Query business information:business,Search Business,control,Business Claim
12,business list:Query business information,Search Business,control,Question Form
13,display selection panel:operation selection panel,Search Business,boundary,$help://use_case_model_pattern.htm
14,redirect to search panel:operation selection panel,Search Business,boundary,$help://use_case_model_pattern.htm
15,stl#User:Home page,Search Business,Stimulus,undefined
16,stl#User:No result found message,Search Business,Stimulus,undefined
17,stl#User:business list,Search Business,Stimulus,undefined
18,stl#User:operation selection panel,Search Business,Stimulus,undefined
