path,pattern

Admin deletes photo
change mode->photo list->pop up photo connection error->photo->,partially matched operational pattern
change mode->photo list->cancel deletion->select photos->confirm delete photos->photo->,partially matched operational pattern
change mode->photo list->select photos->confirm delete photos->photo->,partially matched operational pattern
Actor->photo list->pop up photo connection error->photo->,data management
Actor->photo list->cancel deletion->select photos->confirm delete photos->photo->,data management
Actor->photo list->select photos->confirm delete photos->photo->,data management

Admin searches for photo by event
pop up event connection error->event->Get event list->Search box->,partially matched operational pattern
pop up event connection error->event->Get event list->Display event list->Event list->Get photo list->display photo list->Photo list->,partially matched operational pattern
pop up event connection error->event->Get event list->Display event list->Event list->Get photo list->photo->Pop up photo connection error->Event list->,partially matched operational pattern
pop up event connection error->event->Get event list->Admin page->,partially matched operational pattern
pop up event connection error->Search box->,partially matched operational pattern
Actor->Admin page->,partially matched operational pattern
Actor->Event list->Get photo list->display photo list->Photo list->,validation or interface management
Actor->Event list->Get photo list->photo->Pop up photo connection error->Event list->,data management
Actor->Search box->,partially matched operational pattern

Admin searches for photo by user
pop up event connection error->Account->Get user list->Search box->,partially matched operational pattern
pop up event connection error->Account->Get user list->Admin page->,partially matched operational pattern
pop up event connection error->Account->Get user list->Display user list->User list->Get photo list->display photo list->Photo list->,partially matched operational pattern
pop up event connection error->Account->Get user list->Display user list->User list->Get photo list->photo->Pop up photo connection error->User list->,partially matched operational pattern
pop up event connection error->Admin page->,partially matched operational pattern
Actor->User list->Get photo list->display photo list->Photo list->,validation or interface management
Actor->User list->Get photo list->photo->Pop up photo connection error->User list->,data management
Actor->Admin page->,partially matched operational pattern
Actor->Search box->,partially matched operational pattern

Automatic deletion
Actor->Delete expired events automatically->event->,Invocation of services provided by external system
Actor->delete photos related to expired events automatically->photo->,Invocation of services provided by external system
Actor->delete expired location photos automatically->photo->,Invocation of services provided by external system

Create Account
Display pop-up "Password do not match" on Sign up Screen->Account->,partially matched operational pattern
Display pop-up "Password do not match" on Sign up Screen->Sign up Screen->verify email->Display pop-up "invalid email or email is already in use" on Sign Up Screen->Sign up Screen->,partially matched operational pattern
Display pop-up "Password do not match" on Sign up Screen->Sign up Screen->verify email->verify username->Display pop-up "invalid Useername or Username is already in use" on Sign Up Screen->Sign up Screen->,partially matched operational pattern
Display pop-up "Password do not match" on Sign up Screen->Sign up Screen->verify email->verify username->verify password->verify confirm password->,partially matched operational pattern
Display pop-up "Password do not match" on Sign up Screen->Sign up Screen->verify email->verify username->verify password->Display pop-up "invalid password" on Sign Up Screen->Sign up Screen->,partially matched operational pattern
Display pop-up "Password do not match" on Sign up Screen->Sign up Screen->verify email->verify username->User Collection->,partially matched operational pattern
Actor->Sign up Screen->verify email->Display pop-up "invalid email or email is already in use" on Sign Up Screen->Sign up Screen->,validation or interface management
Actor->Sign up Screen->verify email->verify username->Display pop-up "invalid Useername or Username is already in use" on Sign Up Screen->Sign up Screen->,validation or interface management
Actor->Sign up Screen->verify email->verify username->verify password->verify confirm password->,partially matched operational pattern
Actor->Sign up Screen->verify email->verify username->verify password->Display pop-up "invalid password" on Sign Up Screen->Sign up Screen->,validation or interface management
Actor->Sign up Screen->verify email->verify username->User Collection->,data management

Create Profile
Display pop-up "Password do not match" on Sign up Screen->Profile Photo Screen->Display available photos on Photos Screen->Photos Screen->Display Selected Photo on Profile Photo Screen->Profile Photo Screen->,partially matched operational pattern
Display pop-up "Password do not match" on Sign up Screen->Profile Photo Screen->Save Profile Photo->Profile->,partially matched operational pattern
Display photo on  Profile photo screen->Display available photos on Photos Screen->Photos Screen->Display Selected Photo on Profile Photo Screen->Profile Photo Screen->Display available photos on Photos Screen->,partially matched operational pattern
Display photo on  Profile photo screen->Display available photos on Photos Screen->Photos Screen->Display Selected Photo on Profile Photo Screen->Profile Photo Screen->Save Profile Photo->Profile->,partially matched operational pattern
Display photo on  Profile photo screen->Profile Photo Screen->Display available photos on Photos Screen->Photos Screen->Display Selected Photo on Profile Photo Screen->Profile Photo Screen->,partially matched operational pattern
Display photo on  Profile photo screen->Profile Photo Screen->Save Profile Photo->Profile->,partially matched operational pattern
Actor->Profile Photo Screen->Display available photos on Photos Screen->Photos Screen->Display Selected Photo on Profile Photo Screen->Profile Photo Screen->,validation or interface management
Actor->Profile Photo Screen->Save Profile Photo->Profile->,data management

Create a Private Event
Actor->Create Event Screen->Handle Validate Error->Event Collection->,data management
Actor->Create Event Screen->Validate hashtag containts alphanume, dash, underscore->Handle Validate Error->Event Collection->,data management
Actor->Create Event Screen->Validate hashtag containts alphanume, dash, underscore->Validate hashtag uniqueness->Handle Validate Error->Event Collection->,data management
Actor->Create Event Screen->Validate hashtag containts alphanume, dash, underscore->Validate hashtag uniqueness->Event Collection->,data management

Create a Public Event
Actor->Create Event Screen->Handle Validate Error->Event Collection->,data management
Actor->Create Event Screen->Validate hashtag containts alphanume, dash, underscore->Validate hashtag uniqueness->Handle Validate Error->Event Collection->,data management
Actor->Create Event Screen->Validate hashtag containts alphanume, dash, underscore->Validate hashtag uniqueness->Event Collection->,data management
