id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Administrator:no meeting error page->Administrator:no meeting error page,Generate log,CTRL,2,1,9,1,18
2,stl#Administrator:Meeting list->Administrator:Meeting list->Meeting list:export meeting->export meeting:pdf,Generate log,CTRL;EXTCLL;DM;EI,4,3,6.333333333333333,3,25.333333333333332
3,stl#Administrator:Meeting list->Administrator:Meeting list->Meeting list:export meeting->export meeting:meetings,Generate log,CTRL,4,3,9,3,36
4,stl#Administrator:generate meeting log->Administrator:generate meeting log->generate meeting log:query meetings by project->query meetings by project:no meeting error page,Generate log,TRAN_NA,4,1,6.333333333333333,3,25.333333333333332
5,stl#Administrator:generate meeting log->Administrator:generate meeting log->generate meeting log:query meetings by project->query meetings by project:meetings,Generate log,TRAN_NA,4,1,6.333333333333333,3,25.333333333333332
6,stl#Administrator:generate meeting log->Administrator:generate meeting log->generate meeting log:query meetings by project->query meetings by project:Meeting list->Meeting list:export meeting->export meeting:pdf,Generate log,TRAN_NA,6,3,5.8,5,34.8
7,stl#Administrator:generate meeting log->Administrator:generate meeting log->generate meeting log:query meetings by project->query meetings by project:Meeting list->Meeting list:export meeting->export meeting:meetings,Generate log,TRAN_NA,6,3,7.4,5,44.400000000000006
