id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Send friend invitation,control,2,1,Invite friends to group,Invite friends to group,
2,Invitation,entity,0,2,Invite friends to group,Invite friends to group,
3,group home page,boundary,0,4,Invite friends to group,Invite friends to group,
4,check invitation sent or not,control,4,1,Invite friends to group,Invite friends to group,
5,List of friends,boundary,1,2,Invite friends to group,Invite friends to group,
6,friends,entity,0,1,Invite friends to group,Invite friends to group,
7,query friends who is not in group,control,2,1,Invite friends to group,Invite friends to group,
8,invite button,boundary,1,1,Invite friends to group,Invite friends to group,
9,User,actor,3,0,Invite friends to group,Invite friends to group,
