id,element,useCase,type,component
1,User:input is incorrect,Delete Cources,boundary,DesiredCoursesSelectionPage
2,User:delete button,Delete Cources,boundary,SemesterSelectionPlage
3,User:deletion fails,Delete Cources,boundary,additionfails
4,User:delete success message,Delete Cources,boundary,DesiredCoursesSelectionPage
5,check correctness of the input:course,Delete Cources,entity,Course
6,check correctness of the input:delete course,Delete Cources,entity,Course
7,check correctness of the input:input is incorrect,Delete Cources,boundary,DesiredCoursesSelectionPage
8,delete button:check correctness of the input,Delete Cources,boundary,DesiredCoursesSelectionPage
9,delete course:course,Delete Cources,entity,Course
10,delete course:deletion fails,Delete Cources,boundary,additionfails
11,delete course:show confirmation course is deleted,Delete Cources,boundary,DesiredCoursesSelectionPage
12,show confirmation course is deleted:delete success message,Delete Cources,boundary,DesiredCoursesSelectionPage
13,stl#User:input is incorrect,Delete Cources,Stimulus,undefined
14,stl#User:delete button,Delete Cources,Stimulus,undefined
15,stl#User:deletion fails,Delete Cources,Stimulus,undefined
16,stl#User:delete success message,Delete Cources,Stimulus,undefined
