Name,Admin Login
TotalLinks,38
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Administrator,1,0
Administrator,1,0
Admin Login Page,4,2
Admin home page,0,2
Admin password reset page,1,1
Direct to modify,2,1
Display Home Page,1,1
Display Invalid Email Message,1,1
Display Invalid Username Password Message,1,1
Display Password Reset Page,2,1
Display connection error message,1,2
Display delete confirmation page,0,0
Display locked account message,0,1
Display login page,1,0
Display no transactions message,1,1
Display pritner failure message,1,1
Display transactions,7,1
Dispute Redemption Page,0,1
Enter email address,1,2
Enter username and password,2,1
Error message popup,0,1
Partner Info,1,1
Partner Info,0,1
Partner List,0,1
Retrieve and print,1,1
Retrieve selected transactions,1,1
Retrieve transactions,1,1
System message page,0,3
Transaction DB,0,4
Transaction Log Page,2,1
Validate user,3,2
display partner list,1,1

Name,Bill partner for redemption transaction
TotalLinks,25
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Employee,2,0
Traveler,2,0
Alert message page,2,1
Alert message page,1,1
Billing partner,1,1
Coupon Redeem Page,1,4
Coupon template,0,3
Display,1,4
Display,1,1
Generate barcode,4,2
Invoke,5,1
Logging transaction,0,1
Notifying partner,0,1
Redeem Coupon,1,1
Redeem failed page,1,1
Validating redemption password,0,1
account,0,1
retrieve data from account,3,1

Name,Delete Partner Account
TotalLinks,15
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Administrator,2,0
Delete Partner Account,1,1
Delete confirmation page,1,2
Display delete confirmation page,3,1
Display partner biling status page,2,1
Display popup error message,1,2
Error message popup,0,1
Partner Biling Status Page,3,2
Partner Info,0,1
Partner List,0,1
Suspend Account,1,0
Suspend failed page,0,2
display partner list,1,1

Name,Notify Partner of Redemption
TotalLinks,26
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Employee,1,0
Traveler,2,0
Alert message page,2,1
Alert message page,1,2
Click cancel button,1,3
Coupon,1,0
Coupon Redeem Page,1,4
Coupon Successfully Redeemed Popup Message,0,1
Display Coupon Successfully Redeemed Popup Message,1,1
Display Redeem Coupon Page,1,1
Display Redemption Password Validation Page,2,1
Does network connection and server work,1,1
Enter Password,2,1
Enter password,1,1
Error messagge popup,0,1
Is network connection working,3,2
Is password valid?,3,1
Redeem Success Page,0,2
Redeem failed page,1,1
Traveler Account,0,1
is there similiar transaction,2,1

Name,Reactive Partner Account
TotalLinks,11
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Administrator,3,0
Display search result,1,2
Partner data,2,2
Reactive Partner,2,1
Reactive failure,0,2
Reactive success,0,2
Search,2,1
Suspended Partners List,1,1

Name,Resolve Dispute
TotalLinks,21
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
