id,element,attributeNum,operationNum,diagram
1,Education Level,2,0,Domain Objects
2,Activity_code,3,0,Domain Objects
3,Documentation Type,3,0,Domain Objects
4,Document,3,0,Domain Objects
5,Case_education_history,8,0,Domain Objects
6,Case_ethnicities,0,0,Domain Objects
7,Ethnicities,2,0,Domain Objects
8,Case_account,0,0,Domain Objects
9,Account,3,0,Domain Objects
10,Security Question,2,0,Domain Objects
11,User Security Question,7,0,Domain Objects
12,Activity_code,3,0,Domain Objects
13,Groups,3,0,Domain Objects
14,Template Attachment,4,0,Domain Objects
15,Email Template,11,0,Domain Objects
16,Case_work_history,7,0,Domain Objects
17,Services,3,0,Domain Objects
18,Cases_Activities,6,0,Domain Objects
19,Admin,1,0,Domain Objects
20,User_tokens,2,0,Domain Objects
21,Case_addresses,7,0,Domain Objects
22,Document_version,7,0,Domain Objects
23,Case_answers,2,0,Domain Objects
24,Questions,3,0,Domain Objects
25,Case_email,3,0,Domain Objects
26,Cases,10,0,Domain Objects
27,Limited_User,2,0,Domain Objects
28,General_User,1,0,Domain Objects
29,Manager,1,0,Domain Objects
30,Case_contacts,9,0,Domain Objects
31,Case Manager,1,0,Domain Objects
32,Password,2,0,Domain Objects
33,Users,13,0,Domain Objects
