id,attribute,type,element,diagram
1,id,int,Education Level,Domain Objects
2,name,String,Education Level,Domain Objects
3,Description,String,Activity_code,Domain Objects
4,id,int,Activity_code,Domain Objects
5,name,String,Activity_code,Domain Objects
6,attribute,int,Documentation Type,Domain Objects
7,id,int,Documentation Type,Domain Objects
8,name,String,Documentation Type,Domain Objects
9,doc_Id,int,Document,Domain Objects
10,title,String,Document,Domain Objects
11,type_id,int,Document,Domain Objects
12,address,String,Case_education_history,Domain Objects
13,current,byte,Case_education_history,Domain Objects
14,education_id,int,Case_education_history,Domain Objects
15,end_time,Date,Case_education_history,Domain Objects
16,level_id,int,Case_education_history,Domain Objects
17,note,String,Case_education_history,Domain Objects
18,school_name,String,Case_education_history,Domain Objects
19,start_time,Date,Case_education_history,Domain Objects
20,ethnicity_id,int,Ethnicities,Domain Objects
21,name,String,Ethnicities,Domain Objects
22,account_id,int,Account,Domain Objects
23,description,String,Account,Domain Objects
24,name,String,Account,Domain Objects
25,id,int,Security Question,Domain Objects
26,question,String,Security Question,Domain Objects
27,answer1,String,User Security Question,Domain Objects
28,answer2,String,User Security Question,Domain Objects
29,answer3,String,User Security Question,Domain Objects
30,sq_id1,int,User Security Question,Domain Objects
31,sq_id2,int,User Security Question,Domain Objects
32,sq_id3,int,User Security Question,Domain Objects
33,user_id,int,User Security Question,Domain Objects
34,description,String,Activity_code,Domain Objects
35,id,int,Activity_code,Domain Objects
36,name,String,Activity_code,Domain Objects
37,id,int,Groups,Domain Objects
38,name,String,Groups,Domain Objects
39,Query,String,Groups,Domain Objects
40,Attach_name,String,Template Attachment,Domain Objects
41,Attach_path,String,Template Attachment,Domain Objects
42,id,int,Template Attachment,Domain Objects
43,template_id,int,Template Attachment,Domain Objects
44,author,String,Email Template,Domain Objects
45,closing,String,Email Template,Domain Objects
46,content,String,Email Template,Domain Objects
47,description,String,Email Template,Domain Objects
48,greeting,String,Email Template,Domain Objects
49,heading,String,Email Template,Domain Objects
50,id,int,Email Template,Domain Objects
51,Signature,String,Email Template,Domain Objects
52,subject,String,Email Template,Domain Objects
53,template_name,String,Email Template,Domain Objects
54,type,String,Email Template,Domain Objects
55,current,byte,Case_work_history,Domain Objects
56,end_time,Date,Case_work_history,Domain Objects
57,history_id,int,Case_work_history,Domain Objects
58,industry,String,Case_work_history,Domain Objects
59,name,String,Case_work_history,Domain Objects
60,note,String,Case_work_history,Domain Objects
61,start_time,Date,Case_work_history,Domain Objects
62,name,String,Services,Domain Objects
63,service_id,int,Services,Domain Objects
64,type,String,Services,Domain Objects
65,activity_code,int,Cases_Activities,Domain Objects
66,activity_id,int,Cases_Activities,Domain Objects
67,description,String,Cases_Activities,Domain Objects
68,end_time,Timestamp,Cases_Activities,Domain Objects
69,start_time,Timestamp,Cases_Activities,Domain Objects
70,subject,String,Cases_Activities,Domain Objects
71,ID,int,Admin,Domain Objects
72,time,Timestamp,User_tokens,Domain Objects
73,token,String,User_tokens,Domain Objects
74,address_id,int,Case_addresses,Domain Objects
75,address1,String,Case_addresses,Domain Objects
76,address2,String,Case_addresses,Domain Objects
77,city,String,Case_addresses,Domain Objects
78,current,byte,Case_addresses,Domain Objects
79,state,String,Case_addresses,Domain Objects
80,zip,String,Case_addresses,Domain Objects
81,date,Date,Document_version,Domain Objects
82,description,String,Document_version,Domain Objects
83,extension,String,Document_version,Domain Objects
84,file_name,String,Document_version,Domain Objects
85,last_modified,Date,Document_version,Domain Objects
86,user_id,int,Document_version,Domain Objects
87,version_id,int,Document_version,Domain Objects
88,date,Date,Case_answers,Domain Objects
89,value,String,Case_answers,Domain Objects
90,order,int,Questions,Domain Objects
91,question_id,int,Questions,Domain Objects
92,title,String,Questions,Domain Objects
93,current,byte,Case_email,Domain Objects
94,email,String,Case_email,Domain Objects
95,email_id,int,Case_email,Domain Objects
96,birthday,Date,Cases,Domain Objects
97,case_id,int,Cases,Domain Objects
98,first_name,String,Cases,Domain Objects
99,gender,byte,Cases,Domain Objects
100,ILP,int,Cases,Domain Objects
101,last_name,String,Cases,Domain Objects
102,manageruser_id,int,Cases,Domain Objects
103,ssn,String,Cases,Domain Objects
104,status,byte,Cases,Domain Objects
105,webpage,String,Cases,Domain Objects
106,case_id,int,Limited_User,Domain Objects
107,ID,int,Limited_User,Domain Objects
108,ID,int,General_User,Domain Objects
109,start_date,Timestamp,Manager,Domain Objects
110,address,String,Case_contacts,Domain Objects
111,contact_id,int,Case_contacts,Domain Objects
112,current,byte,Case_contacts,Domain Objects
113,email,String,Case_contacts,Domain Objects
114,first_name,String,Case_contacts,Domain Objects
115,last_name,String,Case_contacts,Domain Objects
116,phone,String,Case_contacts,Domain Objects
117,relationship,String,Case_contacts,Domain Objects
118,type,String,Case_contacts,Domain Objects
119,ID,int,Case Manager,Domain Objects
120,password,String,Password,Domain Objects
121,updated,Timestamp,Password,Domain Objects
122,active,byte,Users,Domain Objects
123,address1,String,Users,Domain Objects
124,address2,String,Users,Domain Objects
125,city,String,Users,Domain Objects
126,email,String,Users,Domain Objects
127,first_name,String,Users,Domain Objects
128,last_name,String,Users,Domain Objects
129,level,byte,Users,Domain Objects
130,phone_number,String,Users,Domain Objects
131,state,String,Users,Domain Objects
132,userId,int,Users,Domain Objects
133,username,String,Users,Domain Objects
134,zip,String,Users,Domain Objects
