id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,Report Poster->Bad driver reporting screen->Record hazardous videos and Call 911->Display emergency alert web form,FUNC_NA,TRAN_NA,4,undefined,2,0,1,Send Drunk Driver Alert,Send Drunk Driver Alert
2,Report Poster->Enter License Plate# Screen->Record hazardous videos and Call 911->Display emergency alert web form,FUNC_NA,TRAN_NA,4,undefined,2,0,1,Send Drunk Driver Alert,Send Drunk Driver Alert
3,Report Poster->Enter License Plate# Screen->Cancel report->Email client,EQ,CTRL|INT,4,undefined,1,0,1,Send Drunk Driver Alert,Send Drunk Driver Alert
4,Report Poster->Enter License Plate# Screen->Describe vehicle details->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,undefined,2,2,1,Send Drunk Driver Alert,Send Drunk Driver Alert
5,Report Poster->Enter License Plate# Screen->Describe vehicle details->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,undefined,2,2,1,Send Drunk Driver Alert,Send Drunk Driver Alert
6,Report Poster->Enter License Plate# Screen->Enter name and phone number->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,undefined,2,2,1,Send Drunk Driver Alert,Send Drunk Driver Alert
7,Report Poster->Enter License Plate# Screen->Describe incident->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,undefined,2,2,1,Send Drunk Driver Alert,Send Drunk Driver Alert
8,Upload the video->Enter License Plate# Screen->Record hazardous videos and Call 911->Display emergency alert web form,FUNC_NA,TRAN_NA,4,undefined,3,0,0,Send Drunk Driver Alert,Send Drunk Driver Alert
9,Upload the video->Enter License Plate# Screen->Cancel report->Email client,FUNC_NA,TRAN_NA,4,undefined,2,0,0,Send Drunk Driver Alert,Send Drunk Driver Alert
10,Upload the video->Enter License Plate# Screen->Describe vehicle details->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,undefined,3,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert
11,Upload the video->Enter License Plate# Screen->Describe vehicle details->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,undefined,3,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert
12,Upload the video->Enter License Plate# Screen->Enter name and phone number->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,undefined,3,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert
13,Upload the video->Enter License Plate# Screen->Describe incident->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,undefined,3,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert
14,fill video metadata in non-editable fields->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,3,undefined,2,1,0,Send Drunk Driver Alert,Send Drunk Driver Alert
15,fill video metadata in non-editable fields->Enter License Plate# Screen->Record hazardous videos and Call 911->Display emergency alert web form,FUNC_NA,TRAN_NA,4,undefined,3,0,0,Send Drunk Driver Alert,Send Drunk Driver Alert
16,fill video metadata in non-editable fields->Enter License Plate# Screen->Cancel report->Email client,FUNC_NA,TRAN_NA,4,undefined,2,0,0,Send Drunk Driver Alert,Send Drunk Driver Alert
17,fill video metadata in non-editable fields->Enter License Plate# Screen->Describe vehicle details->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,undefined,3,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert
18,fill video metadata in non-editable fields->Enter License Plate# Screen->Describe vehicle details->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,undefined,3,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert
19,fill video metadata in non-editable fields->Enter License Plate# Screen->Enter name and phone number->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,undefined,3,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert
20,fill video metadata in non-editable fields->Enter License Plate# Screen->Describe incident->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,undefined,3,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert
