id,element,useCase,type,component
1,administrator:confirmation message,delete a survey,control,SurveyConfigurationPage
2,administrator:survey list page,delete a survey,boundary,SurveyExportPage
3,administrator:delete succes message,delete a survey,boundary,SurveyDeploymentPage
4,delete survey from db:survey monkey,delete a survey,control,Survey Management
5,confirm message about irreversible operation:survey monkey,delete a survey,control,Survey Management
6,check answers under survey:confirm message about irreversible operation,delete a survey,control,SurveyConfigurationPage
7,check answers under survey:survey db,delete a survey,control,Survey Management
8,survey list page:check answers under survey,delete a survey,control,Survey Management
9,confirm message about irreversible operation:confirmation message,delete a survey,control,SurveyConfigurationPage
10,confirm message about irreversible operation:survey database,delete a survey,entity,MySQLDatabase
11,confirmation message:redirect survey deletion page,delete a survey,control,SurveyConfigurationPage
12,confirmation message:delete survey from db,delete a survey,boundary,SurveyDeploymentPage
13,delete survey from db:delete succes message,delete a survey,boundary,SurveyDeploymentPage
14,delete survey from db:survey db,delete a survey,control,Survey Management
15,redirect survey deletion page:survey list page,delete a survey,boundary,SurveyExportPage
16,stl#administrator:confirmation message,delete a survey,Stimulus,undefined
17,stl#administrator:survey list page,delete a survey,Stimulus,undefined
18,stl#administrator:delete succes message,delete a survey,Stimulus,undefined
