[1] "use case weight info"
   Tran_Num Wght.1 Wght.2 Wght.3 Wght.4 Wght.5 Wght.6
1         1      5   5.00      5      5      5   5.00
2         2      5   5.00      5      5      5   5.00
3         3      5   6.67      5      5      5   6.45
4         4     10  10.00      5      5     10   7.50
5         5     10  10.00     10     10     10   8.55
6         6     10  10.00     10     10     10  10.00
7         7     10  12.50     10     10     10  11.40
8         8     15  15.00     10     10     15  12.50
9         9     15  15.00     15     15     15  13.60
10       10     15  15.00     15     15     15  15.00
11       11     15  17.50     15     15     15  15.00
12       12     15  20.00     15     15     15  15.00
13       13     15  20.00     15     20     15  15.00
14       14     15  20.00     15     20     20  15.00
15       15     15  22.50     15     20     20  15.00
16       16     15  25.00     20     20     20  15.00
17       17     15  25.00     20     25     20  15.00
18       18     15  25.00     20     25     20  15.00
19       19     15  25.00     20     25     20  15.00
20       20     15  25.00     20     25     20  15.00
21       21     15  25.00     20     30     20  15.00
22       22     15  25.00     20     30     20  15.00
23       23     15  25.00     20     30     20  15.00
24       24     15  25.00     20     30     20  15.00
25       25     15  25.00     20     30     20  15.00
26       26     15  25.00     20     30     20  15.00
27       27     15  25.00     20     30     20  15.00
28       28     15  25.00     20     30     20  15.00
29       29     15  25.00     20     30     20  15.00
30       30     15  25.00     20     30     20  15.00
[1] "melt use case weight info"
    Tran_Num Wght.Schm. Value
1          1     Wght.1  5.00
2          2     Wght.1  5.00
3          3     Wght.1  5.00
4          4     Wght.1 10.00
5          5     Wght.1 10.00
6          6     Wght.1 10.00
7          7     Wght.1 10.00
8          8     Wght.1 15.00
9          9     Wght.1 15.00
10        10     Wght.1 15.00
11        11     Wght.1 15.00
12        12     Wght.1 15.00
13        13     Wght.1 15.00
14        14     Wght.1 15.00
15        15     Wght.1 15.00
16        16     Wght.1 15.00
17        17     Wght.1 15.00
18        18     Wght.1 15.00
19        19     Wght.1 15.00
20        20     Wght.1 15.00
21        21     Wght.1 15.00
22        22     Wght.1 15.00
23        23     Wght.1 15.00
24        24     Wght.1 15.00
25        25     Wght.1 15.00
26        26     Wght.1 15.00
27        27     Wght.1 15.00
28        28     Wght.1 15.00
29        29     Wght.1 15.00
30        30     Wght.1 15.00
31         1     Wght.2  5.00
32         2     Wght.2  5.00
33         3     Wght.2  6.67
34         4     Wght.2 10.00
35         5     Wght.2 10.00
36         6     Wght.2 10.00
37         7     Wght.2 12.50
38         8     Wght.2 15.00
39         9     Wght.2 15.00
40        10     Wght.2 15.00
41        11     Wght.2 17.50
42        12     Wght.2 20.00
43        13     Wght.2 20.00
44        14     Wght.2 20.00
45        15     Wght.2 22.50
46        16     Wght.2 25.00
47        17     Wght.2 25.00
48        18     Wght.2 25.00
49        19     Wght.2 25.00
50        20     Wght.2 25.00
51        21     Wght.2 25.00
52        22     Wght.2 25.00
53        23     Wght.2 25.00
54        24     Wght.2 25.00
55        25     Wght.2 25.00
56        26     Wght.2 25.00
57        27     Wght.2 25.00
58        28     Wght.2 25.00
59        29     Wght.2 25.00
60        30     Wght.2 25.00
61         1     Wght.3  5.00
62         2     Wght.3  5.00
63         3     Wght.3  5.00
64         4     Wght.3  5.00
65         5     Wght.3 10.00
66         6     Wght.3 10.00
67         7     Wght.3 10.00
68         8     Wght.3 10.00
69         9     Wght.3 15.00
70        10     Wght.3 15.00
71        11     Wght.3 15.00
72        12     Wght.3 15.00
73        13     Wght.3 15.00
74        14     Wght.3 15.00
75        15     Wght.3 15.00
76        16     Wght.3 20.00
77        17     Wght.3 20.00
78        18     Wght.3 20.00
79        19     Wght.3 20.00
80        20     Wght.3 20.00
81        21     Wght.3 20.00
82        22     Wght.3 20.00
83        23     Wght.3 20.00
84        24     Wght.3 20.00
85        25     Wght.3 20.00
86        26     Wght.3 20.00
87        27     Wght.3 20.00
88        28     Wght.3 20.00
89        29     Wght.3 20.00
90        30     Wght.3 20.00
91         1     Wght.4  5.00
92         2     Wght.4  5.00
93         3     Wght.4  5.00
94         4     Wght.4  5.00
