id,element,useCase,type,outboundDegree,inboundDegree
1,Traveler:TripPlanDetaillsPage,Find, add, and delete places,0,undefined,undefined
2,Traveler:Main screen,Find, add, and delete places,0,undefined,undefined
3,NavigateAnnotation:Annotates Trip Plan with Photos Page,Find, add, and delete places,0,undefined,undefined
4,Display Find screen:Fnd screen with search bar,Find, add, and delete places,0,undefined,undefined
5,Main screen:Display Find screen,Find, add, and delete places,0,undefined,undefined
6,Display keyboard and entering process:Displays a list of related places with add button,Find, add, and delete places,0,undefined,undefined
7,Display keyboard and entering process:display no results,Find, add, and delete places,0,undefined,undefined
8,Display keyboard and entering process:TripPlanDetaillsPage,Find, add, and delete places,0,undefined,undefined
9,TripPlanDetaillsPage:Display keyboard and entering process,Find, add, and delete places,0,undefined,undefined
10,Fnd screen with search bar:Display keyboard and entering process,Find, add, and delete places,0,undefined,undefined
11,display no results:Display keyboard and entering process,Find, add, and delete places,0,undefined,undefined
12,Display the add button in color gray:a list of places with add button on find screen,Find, add, and delete places,0,undefined,undefined
13,Display the add button in color gray:add this place to added places list,Find, add, and delete places,0,undefined,undefined
14,user data database:Display the add button in color gray,Find, add, and delete places,0,undefined,undefined
15,Display the add button tin color blue:a list of places with add button on find screen,Find, add, and delete places,0,undefined,undefined
16,Display the add button tin color blue:delete this place from added places  list,Find, add, and delete places,0,undefined,undefined
17,user data database:Display the add button tin color blue,Find, add, and delete places,0,undefined,undefined
18,Displays a delete button under place item:delete this place from added places  list,Find, add, and delete places,0,undefined,undefined
19,Place:Displays a delete button under place item,Find, add, and delete places,0,undefined,undefined
20,TripPlanDetaillsPage:Displays a delete button under place item,Find, add, and delete places,0,undefined,undefined
21,Manage subscription screen with a list of added places:Displays a delete button under place item,Find, add, and delete places,0,undefined,undefined
22,Displays a list of added place of this user:Manage subscription screen with a list of added places,Find, add, and delete places,0,undefined,undefined
23,Displays manage subscriptions screen:Displays a list of added place of this user,Find, add, and delete places,0,undefined,undefined
24,user data database:Displays a list of added place of this user,Find, add, and delete places,0,undefined,undefined
25,Place:Displays a list of added place of this user,Find, add, and delete places,0,undefined,undefined
26,Displays a list of related places with add button:a list of places with add button on find screen,Find, add, and delete places,0,undefined,undefined
27,Place database:Displays a list of related places with add button,Find, add, and delete places,0,undefined,undefined
28,Place:Displays a list of related places with add button,Find, add, and delete places,0,undefined,undefined
29,Displays manage subscriptions screen:Manage subscription screen with a list of added places,Find, add, and delete places,0,undefined,undefined
30,Displays manage subscriptions screen:TripPlanDetaillsPage,Find, add, and delete places,0,undefined,undefined
31,Main screen:Displays manage subscriptions screen,Find, add, and delete places,0,undefined,undefined
32,display no results:Fnd screen with search bar,Find, add, and delete places,0,undefined,undefined
33,delete this place from added places  list:Manage subscriptions page,Find, add, and delete places,0,undefined,undefined
34,TripPlanDetaillsPage:NavigateAnnotation,Find, add, and delete places,0,undefined,undefined
35,NavigateShareTripPlan:Share trip plan page,Find, add, and delete places,0,undefined,undefined
36,TripPlanDetaillsPage:NavigateShareTripPlan,Find, add, and delete places,0,undefined,undefined
37,TripPlanDetaillsPage:delete this place from added places  list,Find, add, and delete places,0,undefined,undefined
38,TripPlanDetaillsPage:add this place to added places list,Find, add, and delete places,0,undefined,undefined
39,display no results:TripPlanDetaillsPage,Find, add, and delete places,0,undefined,undefined
40,add this place to added places list:user data database,Find, add, and delete places,0,undefined,undefined
41,delete this place from added places  list:user data database,Find, add, and delete places,0,undefined,undefined
42,stl#Traveler:TripPlanDetaillsPage,Find, add, and delete places,0,undefined,undefined
43,stl#Traveler:Main screen,Find, add, and delete places,0,undefined,undefined
