id,path,functional,transactional,path_length,diagram,useCase
1,florist->Order history button->retrieve order history for a florist->order,EI,CTRL|DM|EI,undefined,View Past Transactions,View Past Transactions
2,florist->Order history button->retrieve order history for a florist->no order history page,EQ,CTRL|INT,undefined,View Past Transactions,View Past Transactions
3,florist->Order history button->retrieve order history for a florist->order history list,EQ,CTRL|INT,undefined,View Past Transactions,View Past Transactions
