id,path,functional,transactional,path_length,diagram,useCase
1,Case Manager->document list->verify the role of the user->display case information page->case information,EI,CTRL|DM|EI,undefined,Check case information,Check case information
2,Case Manager->document list->verify the role of the user->display case information page->case information page,EQ,CTRL|INT,undefined,Check case information,Check case information
3,Case Manager->document list->verify the role of the user->unauthorized request message,EQ,CTRL|INT,undefined,Check case information,Check case information
4,Case Manager->document list->verify the role of the user->role,EI,CTRL|DM|EI,undefined,Check case information,Check case information
5,General staff->document list->verify the role of the user->display case information page->case information,EI,CTRL|DM|EI,undefined,Check case information,Check case information
6,General staff->document list->verify the role of the user->display case information page->case information page,EQ,CTRL|INT,undefined,Check case information,Check case information
7,General staff->document list->verify the role of the user->unauthorized request message,EQ,CTRL|INT,undefined,Check case information,Check case information
8,General staff->document list->verify the role of the user->role,EI,CTRL|DM|EI,undefined,Check case information,Check case information
9,Administrator->document list->verify the role of the user->display case information page->case information,EI,CTRL|DM|EI,undefined,Check case information,Check case information
10,Administrator->document list->verify the role of the user->display case information page->case information page,EQ,CTRL|INT,undefined,Check case information,Check case information
11,Administrator->document list->verify the role of the user->unauthorized request message,EQ,CTRL|INT,undefined,Check case information,Check case information
12,Administrator->document list->verify the role of the user->role,EI,CTRL|DM|EI,undefined,Check case information,Check case information
