id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,role,entity,0,2,Check case information,Check case information,
2,Administrator,actor,3,1,Check case information,Check case information,
3,General staff,actor,3,1,Check case information,Check case information,
4,display case information page,control,2,1,Check case information,Check case information,
5,case information,entity,0,1,Check case information,Check case information,
6,case information page,boundary,1,6,Check case information,Check case information,
7,unauthorized request message,boundary,0,6,Check case information,Check case information,
8,verify the role of the user,control,3,1,Check case information,Check case information,
9,document list,boundary,1,5,Check case information,Check case information,
10,Case Manager,actor,4,0,Check case information,Check case information,
