id,element,useCase,type,component
1,User:Homepage,set constraints,boundary,Displaypage
2,User:Constraints management page,set constraints,boundary,course constraints
3,User:Make some changes,set constraints,boundary,semester
4,Confirm button:Update changed information,set constraints,control,teacher data
5,Make some changes:Confirm button,set constraints,boundary,pair course
6,Constraints management page:Display constraint details,set constraints,boundary,course constraints
7,Display constraint details:Update changed information,set constraints,control,teacher data
8,Display information:Homepage,set constraints,boundary,Displaypage
9,Update changed information:Display information,set constraints,boundary,Displaypage
10,stl#User:Homepage,set constraints,Stimulus,undefined
11,stl#User:Constraints management page,set constraints,Stimulus,undefined
12,stl#User:Make some changes,set constraints,Stimulus,undefined
